signal,horizon_seconds,actual_rows,delayed_net_positive_rate,event_outcomes_not_executable_trades,mean_delayed_net_return_bps,median_delayed_net_return_bps,requested_rows
trade_imbalance_10s_mean,5,1000,0.0,True,-11.889389313760734,-12.032501405523544,1000
trade_imbalance_60s_mean,5,100,0.0,True,-11.827343409534443,-11.803185144454153,100
trade_imbalance_60s_mean,5,500,0.0,True,-11.944641592581767,-12.032450145878592,500
trade_imbalance_60s_mean,5,1000,0.0,True,-12.012171999501374,-12.032575551441623,1000
trade_imbalance_300s_mean,5,100,0.0,True,-11.801518357562301,-12.032723708432137,100
trade_imbalance_300s_mean,5,500,0.0,True,-11.965064587620901,-12.032722888065296,500
trade_imbalance_300s_mean,5,1000,0.0,True,-12.033982129996488,-12.032721938835028,1000
signed_pressure_to_opposing_depth_10s,5,100,0.03,True,-11.621704796224526,-11.90029620085248,100
signed_pressure_to_opposing_depth_10s,5,500,0.024,True,-12.338781646163708,-12.032770574615348,500
signed_pressure_to_opposing_depth_10s,5,1000,0.019,True,-12.151513443453839,-12.032563584613559,1000
signed_pressure_to_opposing_depth_60s,5,100,0.04,True,-10.813567181472132,-11.512069128458066,100
signed_pressure_to_opposing_depth_60s,5,500,0.024,True,-11.944423332274392,-12.032431423143176,500
signed_pressure_to_opposing_depth_60s,5,1000,0.02,True,-12.0280968406339,-12.032667353222052,1000
signed_pressure_to_opposing_depth_300s,5,100,0.01,True,-11.768342126875082,-11.902672345256747,100
signed_pressure_to_opposing_depth_300s,5,500,0.016,True,-11.890390663877406,-11.967726830907322,500
signed_pressure_to_opposing_depth_300s,5,1000,0.022,True,-11.993888778557999,-12.032688237415709,1000
l1_imbalance,15,100,0.01,True,-11.78423092635125,-11.772355371799389,100
l1_imbalance,15,500,0.006,True,-11.58693317251638,-11.820648377659328,500
l1_imbalance,15,1000,0.003,True,-11.591574964413773,-11.836744898205751,1000
microprice_offset_bps,15,100,0.18,True,-11.862399448021037,-11.506700451936943,100
microprice_offset_bps,15,500,0.06,True,-11.750500158243936,-11.881497105225202,500
microprice_offset_bps,15,1000,0.031,True,-11.655175752451253,-11.774929184902081,1000
normalized_ofi,15,100,0.03,True,-11.197010959927832,-11.83638216077781,100
normalized_ofi,15,500,0.02,True,-11.472966615267774,-11.79566666246873,500
normalized_ofi,15,1000,0.017,True,-11.556533472612458,-11.752074946995245,1000
ofi_10s_mean,15,100,0.03,True,-11.460390852683542,-11.574748839386729,100
ofi_10s_mean,15,500,0.012,True,-12.085554231666539,-11.88524907541745,500
ofi_10s_mean,15,1000,0.01,True,-12.18736872151482,-11.966812054011388,1000
ofi_60s_mean,15,100,0.02,True,-13.35829844169252,-12.48987279684326,100
ofi_60s_mean,15,500,0.014,True,-12.69489296449598,-12.446379608589567,500
ofi_60s_mean,15,1000,0.016,True,-12.316245262956985,-12.034058100357115,1000
ofi_300s_mean,15,100,0.0,True,-12.2335282666367,-11.786119835986401,100
ofi_300s_mean,15,500,0.0,True,-12.29927994280593,-12.032866091534267,500
ofi_300s_mean,15,1000,0.006,True,-12.220048328928824,-12.016193296758342,1000
trade_imbalance,15,100,0.0,True,-11.722606624935446,-12.03398424659001,100
trade_imbalance,15,500,0.0,True,-11.952866982867453,-12.033162939541583,500
trade_imbalance,15,1000,0.0,True,-12.003658794633116,-12.03315314860853,1000
trade_imbalance_10s_mean,15,100,0.0,True,-11.528428066907596,-11.397709291755278,100
trade_imbalance_10s_mean,15,500,0.002,True,-11.706864989043892,-11.83636298116896,500
trade_imbalance_10s_mean,15,1000,0.002,True,-11.880763108416177,-11.902376102385407,1000
trade_imbalance_60s_mean,15,100,0.0,True,-11.678006867626452,-11.624741703613097,100
trade_imbalance_60s_mean,15,500,0.006,True,-11.861572791005282,-11.934697976380654,500
trade_imbalance_60s_mean,15,1000,0.004,True,-12.071497702372564,-12.032569500915834,1000
trade_imbalance_300s_mean,15,100,0.04,True,-11.457805394016159,-11.983428880017502,100
trade_imbalance_300s_mean,15,500,0.008,True,-11.993331471620658,-12.032730568179076,500
trade_imbalance_300s_mean,15,1000,0.004,True,-11.940494504072268,-12.032578719968111,1000
signed_pressure_to_opposing_depth_10s,15,100,0.09,True,-11.01184722090974,-12.567732402296201,100
signed_pressure_to_opposing_depth_10s,15,500,0.054,True,-11.987040569849826,-12.034201431070056,500
signed_pressure_to_opposing_depth_10s,15,1000,0.048,True,-12.173902124352827,-12.032991002696766,1000
signed_pressure_to_opposing_depth_60s,15,100,0.1,True,-10.029805985903488,-12.431502396307671,100
signed_pressure_to_opposing_depth_60s,15,500,0.06,True,-11.870388014960863,-12.165364645016675,500
signed_pressure_to_opposing_depth_60s,15,1000,0.046,True,-12.103012739978277,-12.262720281004356,1000
signed_pressure_to_opposing_depth_300s,15,100,0.07,True,-11.599333135459679,-12.524596263199417,100
signed_pressure_to_opposing_depth_300s,15,500,0.044,True,-12.029392570639057,-12.032952144194379,500
signed_pressure_to_opposing_depth_300s,15,1000,0.044,True,-12.28984595825779,-12.17792637610356,1000
l1_imbalance,30,100,0.01,True,-12.222446002532639,-11.88522743592094,100
l1_imbalance,30,500,0.008,True,-11.68708452174065,-11.609291870659778,500
l1_imbalance,30,1000,0.011,True,-11.653157015337053,-11.737015625748299,1000
microprice_offset_bps,30,100,0.19,True,-13.900382808660572,-13.563447531346503,100
microprice_offset_bps,30,500,0.06,True,-12.064410316149814,-11.96661339134699,500
microprice_offset_bps,30,1000,0.037,True,-11.786145968589203,-11.687966787263626,1000
normalized_ofi,30,100,0.07,True,-10.168919948328455,-10.751722203492186,100
normalized_ofi,30,500,0.046,True,-10.944343400339774,-11.574968942498415,500
normalized_ofi,30,1000,0.044,True,-10.951206121251383,-11.511478179897447,1000
ofi_10s_mean,30,100,0.05,True,-10.984719531513383,-10.263758791686708,100
ofi_10s_mean,30,500,0.024,True,-12.043447887937436,-11.819990052854145,500
ofi_10s_mean,30,1000,0.03,True,-12.15049086686686,-11.918279293738454,1000
ofi_60s_mean,30,100,0.02,True,-13.725648838686473,-13.586861038497322,100
ofi_60s_mean,30,500,0.022,True,-12.965998995942918,-12.508997983080262,500
ofi_60s_mean,30,1000,0.018,True,-12.812094564162583,-12.229905789958897,1000
ofi_300s_mean,30,100,0.01,True,-12.670414621328362,-11.93233704763399,100
ofi_300s_mean,30,500,0.006,True,-12.684513580539399,-12.032972679278323,500
ofi_300s_mean,30,1000,0.017,True,-12.373472870998482,-12.065297376881642,1000
trade_imbalance,30,100,0.02,True,-11.356129551591634,-11.778494887199807,100
trade_imbalance,30,500,0.008,True,-11.845583017326303,-11.867268902389704,500
trade_imbalance,30,1000,0.005,True,-11.937205761996303,-12.0,1000
trade_imbalance_10s_mean,30,100,0.0,True,-11.268969125711212,-11.412188335242933,100
trade_imbalance_10s_mean,30,500,0.002,True,-11.894137729389092,-11.78180416648501,500
trade_imbalance_10s_mean,30,1000,0.007,True,-12.102367000058138,-11.966636646137967,1000
trade_imbalance_60s_mean,30,100,0.01,True,-11.676649299468775,-11.419548872483919,100
trade_imbalance_60s_mean,30,500,0.012,True,-12.053057448230371,-12.0,500
trade_imbalance_60s_mean,30,1000,0.008,True,-12.325931186348056,-12.130679767400926,1000
trade_imbalance_300s_mean,30,100,0.02,True,-11.847599575991964,-12.230769258852233,100
trade_imbalance_300s_mean,30,500,0.012,True,-12.315897225212558,-12.31354245945305,500
trade_imbalance_300s_mean,30,1000,0.008,True,-12.109768111953668,-12.033263659795807,1000
signed_pressure_to_opposing_depth_10s,30,100,0.1,True,-10.738884994047389,-12.490874867056299,100
signed_pressure_to_opposing_depth_10s,30,500,0.066,True,-12.203202798989375,-12.098105648956352,500
signed_pressure_to_opposing_depth_10s,30,1000,0.057,True,-12.284624483932335,-12.067295788122703,1000
signed_pressure_to_opposing_depth_60s,30,100,0.12,True,-10.322283554768546,-12.01619911670553,100
signed_pressure_to_opposing_depth_60s,30,500,0.064,True,-12.18212327444638,-12.151744977929948,500
signed_pressure_to_opposing_depth_60s,30,1000,0.055,True,-12.39150764476763,-12.25239308766642,1000
signed_pressure_to_opposing_depth_300s,30,100,0.06,True,-12.779316319025053,-13.179253657832291,100
signed_pressure_to_opposing_depth_300s,30,500,0.06,True,-12.155611085127747,-12.410537051065024,500
signed_pressure_to_opposing_depth_300s,30,1000,0.058,True,-12.531785044287975,-12.562608653388807,1000
l1_imbalance,60,100,0.03,True,-11.732231783199172,-11.820263520716598,100
l1_imbalance,60,500,0.024,True,-11.449796455450247,-11.499937288613024,500
l1_imbalance,60,1000,0.029,True,-11.60301457810323,-11.73059355282923,1000
microprice_offset_bps,60,100,0.27,True,-11.59797630577142,-11.012994025277745,100
microprice_offset_bps,60,500,0.098,True,-12.036582159540707,-11.647752630287124,500
microprice_offset_bps,60,1000,0.062,True,-11.769455751488632,-11.571428990773864,1000
normalized_ofi,60,100,0.14,True,-10.06035464128624,-11.460888032207587,100
normalized_ofi,60,500,0.082,True,-11.638587601842538,-11.68869366769882,500
normalized_ofi,60,1000,0.087,True,-11.032892512908354,-11.405493793292054,1000
ofi_10s_mean,60,100,0.11,True,-10.363783860418048,-11.266756129177189,100
ofi_10s_mean,60,500,0.068,True,-12.103299911692153,-12.137609434349717,500
ofi_10s_mean,60,1000,0.055,True,-12.469998461047588,-12.297020710270687,1000
ofi_60s_mean,60,100,0.02,True,-14.36621497561187,-13.799517837052155,100
ofi_60s_mean,60,500,0.05,True,-12.839564205394359,-13.169838102264787,500
ofi_60s_mean,60,1000,0.048,True,-13.024959171796208,-12.893357677842967,1000
