round,treatment,interval,controller,decision_time_utc,exit_time_utc,symbol,side,size_fraction,score_bps,stop_bps,event,stress_net_payoff_bps,stress_initial_capital_return_fraction
55,baseline_71,policy_development,majority_view_consensus,2024-07-30T14:00:00+00:00,2024-07-30T15:01:00+00:00,SOLUSDT,long,0.07077752899852648,4.7145390632104105,141.28778076171875,timeout,41.257450103759766,0.0002920100371124116
55,baseline_71,policy_development,majority_view_consensus,2024-07-31T21:00:00+00:00,2024-07-31T22:01:00+00:00,BTCUSDT,long,0.039360630000708705,4.252566390976278,127.03048706054688,timeout,41.00835418701172,0.00016141146560929816
55,baseline_71,policy_development,majority_view_consensus,2024-07-31T21:00:00+00:00,2024-07-31T22:01:00+00:00,ETHUSDT,long,0.03411184997448482,4.578187173442558,146.57662963867188,timeout,28.177953720092773,9.612021298877811e-05
55,baseline_71,policy_development,majority_view_consensus,2024-07-31T21:00:00+00:00,2024-07-31T22:01:00+00:00,SOLUSDT,long,0.027907187480465053,3.9739593060412464,179.16531372070312,timeout,-15.711832046508789,-4.384730425834997e-05
55,baseline_71,policy_development,majority_view_consensus,2024-08-01T05:00:00+00:00,2024-08-01T06:01:00+00:00,ETHUSDT,long,0.05742154684198432,7.632128202229136,130.6129913330078,timeout,130.36666870117188,0.0007485855773457792
55,baseline_71,policy_development,majority_view_consensus,2024-08-01T05:00:00+00:00,2024-08-01T06:01:00+00:00,SOLUSDT,long,0.05169014099318854,2.4700804702661765,145.09536743164062,timeout,137.56564331054688,0.0007110787498540853
55,baseline_71,policy_development,majority_view_consensus,2024-08-02T14:00:00+00:00,2024-08-02T15:01:00+00:00,SOLUSDT,short,0.04,1.5925471440607235,250.0,timeout,481.9693908691406,0.0019278775634765627
55,baseline_71,policy_development,majority_view_consensus,2024-08-03T01:00:00+00:00,2024-08-03T01:11:00+00:00,ETHUSDT,long,0.056852895215644725,5.9430693430763695,131.91940307617188,stop_loss,-147.91940307617188,-0.0008409646323450316
55,baseline_71,policy_development,majority_view_consensus,2024-08-03T01:00:00+00:00,2024-08-03T02:01:00+00:00,SOLUSDT,long,0.03794661795903677,3.3604344016202106,197.6460723876953,timeout,45.46131134033203,0.00017251030133484053
55,baseline_71,policy_development,majority_view_consensus,2024-08-03T19:00:00+00:00,2024-08-03T20:01:00+00:00,BTCUSDT,long,0.06597144230589197,0.5001711618847214,113.68555450439453,timeout,1.1324214935302734,7.470747922638445e-06
55,baseline_71,policy_development,majority_view_consensus,2024-08-03T19:00:00+00:00,2024-08-03T20:01:00+00:00,SOLUSDT,long,0.0365060300828642,5.974748539235115,205.4455108642578,timeout,-80.81631469726562,-0.00029502828155245997
55,baseline_71,policy_development,majority_view_consensus,2024-08-04T15:00:00+00:00,2024-08-04T16:01:00+00:00,BTCUSDT,long,0.06087935064503166,2.996951797929083,164.25930786132812,timeout,-71.48857879638672,-0.0004352178255660203
55,baseline_71,policy_development,majority_view_consensus,2024-08-04T17:00:00+00:00,2024-08-04T17:11:00+00:00,ETHUSDT,long,0.05947844907572254,1.4893047512854163,126.0960922241211,stop_loss,-142.09609985351562,-0.0008451655638996115
55,baseline_71,policy_development,majority_view_consensus,2024-08-04T17:00:00+00:00,2024-08-04T18:01:00+00:00,SOLUSDT,long,0.0303427073977017,5.156030205056493,247.17636108398438,timeout,95.91593170166016,0.0002910349050401415
55,baseline_71,policy_development,majority_view_consensus,2024-08-07T14:00:00+00:00,2024-08-07T14:34:00+00:00,BTCUSDT,long,0.05798798264182971,1.8110218836940506,129.33714294433594,stop_loss,-145.33714294433594,-0.0008427807722269275
55,baseline_71,policy_development,majority_view_consensus,2024-08-07T14:00:00+00:00,2024-08-07T14:34:00+00:00,ETHUSDT,long,0.034332907664511504,3.998128782190331,218.44931030273438,stop_loss,-234.44931030273438,-0.0008049326522632185
55,baseline_71,policy_development,majority_view_consensus,2024-08-08T23:00:00+00:00,2024-08-09T00:01:00+00:00,SOLUSDT,short,0.04046701064284356,5.2671594189469815,247.1148681640625,timeout,-51.974998474121094,-0.0002103272816414036
55,baseline_71,policy_development,majority_view_consensus,2024-08-11T15:00:00+00:00,2024-08-11T16:01:00+00:00,ETHUSDT,long,0.07668832263016981,3.5730725771486034,130.39794921875,timeout,-22.54509162902832,-0.00017289452605736644
55,baseline_71,policy_development,majority_view_consensus,2024-08-11T21:00:00+00:00,2024-08-11T22:01:00+00:00,ETHUSDT,long,0.05762535797124553,2.3584343538861523,173.5347137451172,timeout,84.86929321289062,0.0004890623402159421
55,baseline_71,policy_development,majority_view_consensus,2024-08-12T14:00:00+00:00,2024-08-12T15:01:00+00:00,ETHUSDT,long,0.04471611449061116,9.095934489115589,223.63302612304688,timeout,344.5494384765625,0.0015406912138593754
55,baseline_71,policy_development,majority_view_consensus,2024-08-14T14:00:00+00:00,2024-08-14T15:01:00+00:00,BTCUSDT,long,0.07340676100283744,5.693690308859238,136.22723388671875,timeout,-14.064682960510254,-0.00010324428206628564
55,baseline_71,policy_development,majority_view_consensus,2024-08-15T18:00:00+00:00,2024-08-15T18:03:00+00:00,ETHUSDT,long,0.05177103996361534,2.9351943774547156,144.86863708496094,stop_loss,-160.86863708496094,-0.0008328336639417845
55,baseline_71,policy_development,majority_view_consensus,2024-08-15T18:00:00+00:00,2024-08-15T18:04:00+00:00,SOLUSDT,long,0.053951587143909324,4.057956197496646,139.01351928710938,stop_loss,-155.01351928710938,-0.0008363225394302549
55,baseline_71,policy_development,majority_view_consensus,2024-08-20T15:00:00+00:00,2024-08-20T16:01:00+00:00,BTCUSDT,long,0.027190434357397382,14.88134095194392,183.88819885253906,timeout,-82.6918716430664,-0.00022484279078011272
55,baseline_71,policy_development,majority_view_consensus,2024-08-20T15:00:00+00:00,2024-08-20T16:01:00+00:00,ETHUSDT,long,0.028916110892508718,7.760489476194828,172.9139862060547,timeout,-35.289276123046875,-0.00010204286216903835
55,baseline_71,policy_development,majority_view_consensus,2024-08-20T15:00:00+00:00,2024-08-20T16:01:00+00:00,SOLUSDT,long,0.028496775110891572,5.340032758251425,175.4584503173828,timeout,-39.659114837646484,-0.0001130156876625435
55,baseline_71,policy_development,majority_view_consensus,2024-08-21T15:00:00+00:00,2024-08-21T16:01:00+00:00,BTCUSDT,long,0.042886100547802924,3.078466877323833,174.8818359375,timeout,-1.268277645111084,-5.439148261076466e-06
55,baseline_71,policy_development,majority_view_consensus,2024-08-21T15:00:00+00:00,2024-08-21T16:01:00+00:00,SOLUSDT,long,0.03032703179914413,5.2977834332884495,247.3041229248047,timeout,33.03227615356445,0.00010017708893072594
55,baseline_71,policy_development,majority_view_consensus,2024-08-22T03:00:00+00:00,2024-08-22T04:01:00+00:00,BTCUSDT,long,0.03891922194812275,6.780424654218785,128.47122192382812,timeout,55.040443420410156,0.00021421312336020355
55,baseline_71,policy_development,majority_view_consensus,2024-08-22T03:00:00+00:00,2024-08-22T04:01:00+00:00,ETHUSDT,long,0.03565630318303888,3.0839267907495373,140.2276611328125,timeout,47.842803955078125,0.00017058975229489575
55,baseline_71,policy_development,majority_view_consensus,2024-08-22T03:00:00+00:00,2024-08-22T04:01:00+00:00,SOLUSDT,long,0.03836445742824899,2.788814144132519,130.32896423339844,timeout,4.031427383422852,1.546635242264032e-05
55,baseline_71,policy_development,majority_view_consensus,2024-08-23T22:00:00+00:00,2024-08-23T23:01:00+00:00,BTCUSDT,short,0.05167871854189303,1.126909704373577,193.5032501220703,timeout,24.74761962890625,0.00012789252693840732
55,baseline_71,policy_development,majority_view_consensus,2024-08-24T17:00:00+00:00,2024-08-24T18:01:00+00:00,SOLUSDT,short,0.06570642274868325,1.3772776030546259,152.19212341308594,timeout,20.022518157958984,0.000131560804258004
55,baseline_71,policy_development,majority_view_consensus,2024-08-28T14:00:00+00:00,2024-08-28T15:01:00+00:00,BTCUSDT,long,0.050613156269664575,1.9411109167313851,98.78854370117188,timeout,-46.63539505004883,-0.00023603645373656632
55,baseline_71,policy_development,majority_view_consensus,2024-08-28T14:00:00+00:00,2024-08-28T15:01:00+00:00,ETHUSDT,long,0.04128438430888501,2.908070578994343,121.11116790771484,timeout,53.33896255493164,0.0002202066228755025
55,baseline_71,policy_development,majority_view_consensus,2024-08-28T14:00:00+00:00,2024-08-28T15:01:00+00:00,SOLUSDT,long,0.045107480603769574,3.2435860904875216,110.84635925292969,timeout,-46.14749526977539,-0.00020815972477939419
55,baseline_71,policy_development,majority_view_consensus,2024-08-28T18:00:00+00:00,2024-08-28T19:01:00+00:00,ETHUSDT,long,0.0730728588897488,4.372554578950032,136.84971618652344,timeout,153.7962188720703,0.0011238329399415716
55,baseline_71,policy_development,majority_view_consensus,2024-08-28T20:00:00+00:00,2024-08-28T21:01:00+00:00,ETHUSDT,long,0.08575046804831393,0.9055853541018586,116.61743927001953,timeout,103.5999526977539,0.0008883744433615581
55,baseline_71,policy_development,majority_view_consensus,2024-08-30T15:00:00+00:00,2024-08-30T16:01:00+00:00,BTCUSDT,long,0.06029239456190863,3.112292316036457,124.393798828125,timeout,-84.64518737792969,-0.0005103461035156825
55,baseline_71,policy_development,majority_view_consensus,2024-08-30T15:00:00+00:00,2024-08-30T15:03:00+00:00,SOLUSDT,long,0.04184037732611115,4.211848241710461,179.252685546875,stop_loss,-195.252685546875,-0.000816944603721778
55,baseline_71,policy_development,pooled_nine_consensus,2024-07-03T02:00:00+00:00,2024-07-03T03:01:00+00:00,BTCUSDT,long,0.06471277157604208,2.2952611253751045,115.8967514038086,timeout,-51.773292541503906,-0.0003350393253977945
55,baseline_71,policy_development,pooled_nine_consensus,2024-07-03T02:00:00+00:00,2024-07-03T03:01:00+00:00,SOLUSDT,long,0.04813393361038679,5.218717286290363,155.8152313232422,timeout,-7.637144088745117,-3.6760578654061544e-05
55,baseline_71,policy_development,pooled_nine_consensus,2024-07-05T04:00:00+00:00,2024-07-05T04:19:00+00:00,BTCUSDT,long,0.043874421518872005,3.3518301196579587,227.92323303222656,stop_loss,-243.92323303222656,-0.0010701990744301953
55,baseline_71,policy_development,pooled_nine_consensus,2024-07-08T11:00:00+00:00,2024-07-08T12:01:00+00:00,BTCUSDT,long,0.04478987897451571,5.6225873661817305,111.63236236572266,timeout,54.074195861816406,0.0002421976688295015
55,baseline_71,policy_development,pooled_nine_consensus,2024-07-08T11:00:00+00:00,2024-07-08T12:01:00+00:00,ETHUSDT,long,0.03720417357073096,10.069586843842718,134.39352416992188,timeout,119.34508514404297,0.00044401352625126397
