signal,horizon_seconds,weighted_roc_auc,weighted_auc_minus_chance,spearman_information_coefficient,earliest_peak_horizon_seconds,earliest_peak_weighted_auc,half_life_status,half_life_seconds
trade_imbalance_10s_mean,300,0.4854532408783091,-0.0145467591216909,-0.01257034657798595,5,0.535512256226188,measurable_on_consumed_role_only,18.7187170449725
trade_imbalance_10s_mean,900,0.49178559693087054,-0.008214403069129461,-0.0006074026367573906,5,0.535512256226188,measurable_on_consumed_role_only,18.7187170449725
trade_imbalance_60s_mean,5,0.5162622565752092,0.01626225657520919,0.0019047682425836934,5,0.5162622565752092,no_measurable_half_life_on_consumed_role,
trade_imbalance_60s_mean,15,0.5070187715431703,0.007018771543170321,-0.011477958659360812,5,0.5162622565752092,no_measurable_half_life_on_consumed_role,
trade_imbalance_60s_mean,30,0.49846672985409163,-0.001533270145908372,-0.02421432247646496,5,0.5162622565752092,no_measurable_half_life_on_consumed_role,
trade_imbalance_60s_mean,60,0.4890208589361393,-0.01097914106386072,-0.027378664666090916,5,0.5162622565752092,no_measurable_half_life_on_consumed_role,
trade_imbalance_60s_mean,120,0.48751633120660937,-0.012483668793390634,-0.010279912075678667,5,0.5162622565752092,no_measurable_half_life_on_consumed_role,
trade_imbalance_60s_mean,300,0.48336233124948935,-0.016637668750510648,-0.009502582362503344,5,0.5162622565752092,no_measurable_half_life_on_consumed_role,
trade_imbalance_60s_mean,900,0.4965260065891051,-0.0034739934108948822,0.015923888436697453,5,0.5162622565752092,no_measurable_half_life_on_consumed_role,
trade_imbalance_300s_mean,5,0.5098911814923864,0.009891181492386436,0.007184403151897997,5,0.5098911814923864,no_measurable_half_life_on_consumed_role,
trade_imbalance_300s_mean,15,0.5062336829286124,0.006233682928612372,0.007160950575995717,5,0.5098911814923864,no_measurable_half_life_on_consumed_role,
trade_imbalance_300s_mean,30,0.5014553363517905,0.001455336351790515,-0.0017561382279393809,5,0.5098911814923864,no_measurable_half_life_on_consumed_role,
trade_imbalance_300s_mean,60,0.4963076661558136,-0.0036923338441863796,-0.006762060826534478,5,0.5098911814923864,no_measurable_half_life_on_consumed_role,
trade_imbalance_300s_mean,120,0.4935464250644643,-0.006453574935535722,-0.008533586678030966,5,0.5098911814923864,no_measurable_half_life_on_consumed_role,
trade_imbalance_300s_mean,300,0.4909925816341092,-0.009007418365890807,-0.00026105449293874417,5,0.5098911814923864,no_measurable_half_life_on_consumed_role,
trade_imbalance_300s_mean,900,0.5066045188513338,0.00660451885133384,0.04270819000071061,5,0.5098911814923864,no_measurable_half_life_on_consumed_role,
signed_pressure_to_opposing_depth_10s,5,0.5446526360170267,0.04465263601702674,0.04328057593434702,5,0.5446526360170267,measurable_on_consumed_role_only,14.705910358573568
signed_pressure_to_opposing_depth_10s,15,0.5216498292903071,0.02164982929030712,0.01854062145606835,5,0.5446526360170267,measurable_on_consumed_role_only,14.705910358573568
signed_pressure_to_opposing_depth_10s,30,0.5094511177278375,0.009451117727837466,-3.721957905371304e-05,5,0.5446526360170267,measurable_on_consumed_role_only,14.705910358573568
signed_pressure_to_opposing_depth_10s,60,0.4923651199495472,-0.007634880050452819,-0.017538848857222938,5,0.5446526360170267,measurable_on_consumed_role_only,14.705910358573568
signed_pressure_to_opposing_depth_10s,120,0.4903355750714296,-0.009664424928570392,-0.01953666766516777,5,0.5446526360170267,measurable_on_consumed_role_only,14.705910358573568
signed_pressure_to_opposing_depth_10s,300,0.48569886181599986,-0.01430113818400014,-0.022043030716694865,5,0.5446526360170267,measurable_on_consumed_role_only,14.705910358573568
signed_pressure_to_opposing_depth_10s,900,0.48828660541604846,-0.011713394583951542,-0.0076190641015373844,5,0.5446526360170267,measurable_on_consumed_role_only,14.705910358573568
signed_pressure_to_opposing_depth_60s,5,0.5292197007772003,0.029219700777200264,0.031892250979338,5,0.5292197007772003,no_measurable_half_life_on_consumed_role,
signed_pressure_to_opposing_depth_60s,15,0.5062524193635809,0.006252419363580897,-0.005858386891216836,5,0.5292197007772003,no_measurable_half_life_on_consumed_role,
