conditional_gain_mean_bps,conditional_loss_mean_bps,direct_mean_net_bps,horizon_minutes,hurdle_identity_mean_net_bps,identity_absolute_error_bps,profit_prevalence,role,rows,side,symbol
41.574560197935696,46.08937032689402,-11.741340312672602,30,-11.741340312672598,3.552713678800501e-15,0.39181485256918486,early_stop,26487,long,SOLUSDT
17.7717253371855,22.658133712482588,-12.44154343394434,15,-12.44154343394434,0.0,0.2526991317478294,calibration,26490,short,BTCUSDT
18.457819552527837,22.245080590156572,-11.558456562509534,15,-11.558456562509535,1.7763568394002505e-15,0.26255190637976594,calibration,26490,long,BTCUSDT
24.576214748096547,29.531847790786248,-12.886826966726002,30,-12.886826966726002,0.0,0.30762551906379765,calibration,26490,short,BTCUSDT
25.60989098578949,28.66337201356409,-11.113173038386183,30,-11.113173038386181,1.7763568394002505e-15,0.32336730841827105,calibration,26490,long,BTCUSDT
23.470932836159182,27.904805460438943,-12.302018952468693,15,-12.302018952468696,3.552713678800501e-15,0.30369950924877315,calibration,26490,short,ETHUSDT
23.07765255893679,27.79525081021701,-11.697981046523271,15,-11.697981046523273,1.7763568394002505e-15,0.31642129105322764,calibration,26490,long,ETHUSDT
33.018199501177904,37.060420109752044,-12.605653794786534,30,-12.605653794786532,1.7763568394002505e-15,0.348961872404681,calibration,26490,short,ETHUSDT
32.76796962097504,36.64343101033059,-11.394346205375472,30,-11.394346205375475,3.552713678800501e-15,0.3637599093997735,calibration,26490,long,ETHUSDT
30.011370589261034,35.74142719018453,-12.312183768508929,15,-12.312183768508929,0.0,0.35632314080785205,calibration,26490,short,SOLUSDT
29.85185484336544,35.414211980416965,-11.687816226810904,15,-11.687816226810906,1.7763568394002505e-15,0.3635334088335221,calibration,26490,long,SOLUSDT
42.41786586514369,48.053339331698616,-12.623053083603406,30,-12.623053083603413,7.105427357601002e-15,0.3916194790486976,calibration,26490,short,SOLUSDT
42.03370116913677,47.80362614862305,-11.376946921742785,30,-11.376946921742785,0.0,0.40547376368440924,calibration,26490,long,SOLUSDT
17.394836166699726,20.924801641301958,-12.099458986303873,15,-12.099458986303873,0.0,0.2303086135421465,viability,52104,short,BTCUSDT
17.48906219040912,20.835992498624098,-11.900541010017166,15,-11.900541010017164,1.7763568394002505e-15,0.23314908644249963,viability,52104,long,BTCUSDT
23.705073447883393,26.906537273507404,-12.197270784293124,30,-12.197270784293123,1.7763568394002505e-15,0.290630277905727,viability,52104,short,BTCUSDT
23.686638667944855,26.73568904861782,-11.802729218388306,30,-11.802729218388304,1.7763568394002505e-15,0.29615768463073855,viability,52104,long,BTCUSDT
26.510351486631997,29.956063012953557,-11.903369693168202,15,-11.9033696931682,1.7763568394002505e-15,0.319706740365423,viability,52104,short,ETHUSDT
25.557026576275415,30.24235164342073,-12.096630306200336,15,-12.096630306200336,0.0,0.3251957623215108,viability,52104,long,ETHUSDT
37.688466065685404,40.053781776489174,-11.804626656039856,30,-11.80462665603986,3.552713678800501e-15,0.3633694150161216,viability,52104,short,ETHUSDT
35.87951120331887,40.748522222452344,-12.195373347867895,30,-12.195373347867895,0.0,0.37262014432673113,viability,52104,long,ETHUSDT
31.666579720738724,36.94215299458436,-12.013154687995682,15,-12.013154687995675,7.105427357601002e-15,0.3633502226316598,viability,52104,short,SOLUSDT
31.94768837975704,36.86419557568315,-11.98684531334961,15,-11.98684531334961,0.0,0.3615269461077844,viability,52104,long,SOLUSDT
45.34442238659103,50.22248253573045,-12.01883094224369,30,-12.018830942243696,5.329070518200751e-15,0.3997581759557807,viability,52104,short,SOLUSDT
45.429378822264695,50.15519337708204,-11.98116906232298,30,-11.981169062322977,3.552713678800501e-15,0.39937432826654384,viability,52104,long,SOLUSDT
