signal,horizon_seconds,regime,band,support_rows,metrics_reported,weighted_roc_auc,spearman_information_coefficient,mean_signal_aligned_gross_midquote_return_bps,mean_delayed_net_return_bps
normalized_ofi,5,relative_short_term_volatility,greater_than_or_equal_to_1_5,5347,True,0.5507985737304059,0.06647184612217757,0.0828340447400634,-11.959132508360737
normalized_ofi,5,relative_l1_depth,less_than_0_75,9199,True,0.5366007695515914,0.06072587370852446,0.08882827987742507,-11.95022340203658
normalized_ofi,5,relative_l1_depth,0_75_to_less_than_1_25,12837,True,0.5718788179068552,0.10457927120527351,0.09403793248558368,-11.939944154170028
normalized_ofi,5,relative_l1_depth,greater_than_or_equal_to_1_25,6806,True,0.5986879705809571,0.13656934408090388,0.1801661175572765,-11.8563894821724
ofi_10s_mean,5,relative_spread,less_than_0_8,517,True,0.4254177519196293,-0.12047259655603233,-0.9206670160961266,-12.969241307359786
ofi_10s_mean,5,relative_spread,0_8_to_less_than_1_25,27319,True,0.567298730197314,0.07367090145164638,0.08932105405596417,-11.945055081330988
ofi_10s_mean,5,relative_spread,greater_than_or_equal_to_1_25,1006,True,0.4572611765498879,-0.09433578179421385,-0.27304954814276994,-12.355266623306415
ofi_10s_mean,5,relative_short_term_volatility,less_than_0_75,10647,True,0.577766875307271,0.0856754880491446,0.11769938804061068,-11.916169533388647
ofi_10s_mean,5,relative_short_term_volatility,0_75_to_less_than_1_5,12848,True,0.5530798461152496,0.05124239836689165,0.04328858744341116,-11.992421173096519
ofi_10s_mean,5,relative_short_term_volatility,greater_than_or_equal_to_1_5,5347,True,0.5291822376638516,0.012028946143317619,-0.014753892567810515,-12.056860708346752
ofi_10s_mean,5,relative_l1_depth,less_than_0_75,9199,True,0.5282502409785664,0.016863257996648395,0.0036311269076667817,-12.035453110391401
ofi_10s_mean,5,relative_l1_depth,0_75_to_less_than_1_25,12837,True,0.5630582313409416,0.06094335234596864,0.06647971295288552,-11.967499226530073
ofi_10s_mean,5,relative_l1_depth,greater_than_or_equal_to_1_25,6806,True,0.5937988418452574,0.10962439202559655,0.12447875777878746,-11.912047522770374
ofi_60s_mean,5,relative_spread,less_than_0_8,517,True,0.46341288096607247,-0.0791430988239733,-0.464711064380632,-12.512166523284531
ofi_60s_mean,5,relative_spread,0_8_to_less_than_1_25,27319,True,0.5481955273449304,0.038277842503234696,0.030228282810176577,-12.004183962800008
ofi_60s_mean,5,relative_spread,greater_than_or_equal_to_1_25,1006,True,0.45507520310361416,-0.11467521599511123,-0.5302966807867147,-12.614480821015514
ofi_60s_mean,5,relative_short_term_volatility,less_than_0_75,10647,True,0.5719024621238502,0.07821934008376252,0.07231554850881489,-11.961637918902468
ofi_60s_mean,5,relative_short_term_volatility,0_75_to_less_than_1_5,12848,True,0.533210103712143,0.01267837484632966,-0.005384802204459472,-12.04095496427828
ofi_60s_mean,5,relative_short_term_volatility,greater_than_or_equal_to_1_5,5347,True,0.49559120948306534,-0.048117499451972294,-0.11405478124847918,-12.156743703359552
