round,symbol,candidate,seed,role,side,actual_mean_net_bps,actual_sha256,executable_ratio,executable_rows,expected_payoff_mse_bps2,expected_payoff_mse_skill,expected_payoff_spearman,predicted_mean_net_bps,prediction_sha256,rejected_rows,role_rows,training_mean_baseline_mse_bps2,magnitude_floor_count,predicted_profitable_probability_mean,probability_brier_score,probability_brier_skill,probability_log_loss,probability_log_loss_skill,profitable_event_rate,training_prevalence_brier_score,training_prevalence_log_loss
52,BTCUSDT,executable_hurdle_lightgbm_fincast,5202,evaluation,long,-12.459302139155852,de03345dcd5ebaa558dd2daea6f3839faf0c6c2f950244d2a0f4a20296d0c978,0.9156514316753317,47200,116.49102638508067,-0.025972249445189943,0.023848227291865434,-11.552371698037142,0a8525fcc7b2f46e241fe091ed742a01f1cf05c73a04492bd162c8f56341f29d,4348,51548,113.54208308078017,0,0.09322011214481453,0.06897587362397653,0.03029723888468061,0.2583056808884519,0.05322971263428866,0.07677966101694915,0.07113094485225845,0.2728282502476501
52,BTCUSDT,executable_hurdle_lightgbm_fincast,5202,evaluation,short,-12.037685630849946,a753ebc48f6a0b86201eebd977266fa05b1782f9b65db97d2a5484fbedba2efe,0.9154574377279429,47190,117.48549064361475,-0.0036381584742426476,0.05581747796546968,-12.962422987502457,c7c7e2a622f9f115bf71344fdc127be22e9e17995683a4edf96bcab6b55b9ccb,4358,51548,117.0596092342875,0,0.06750292964946618,0.06947724497654002,0.0710433377657218,0.25468637614379286,0.10324965941242403,0.08099173553719008,0.07479062027440223,0.2840103478264811
52,BTCUSDT,executable_hurdle_lightgbm_fincast,5203,policy_calibration,long,-12.670247653843706,f2334b23af1a0fcb002087f5ff4864c55aa78ceb3b4a95a4c3d9cae2ba45b38d,0.9116243891086805,15669,161.42954205232584,-0.02875304115929045,0.07468887343388345,-11.028438392870816,9c8336758dc0083afa5827152186cebb0338c5c78c725b380ea066ef13a4341d,1519,17188,156.91768149760478,0,0.13489021357982228,0.09826517635920598,0.0810041645449292,0.3379882701386048,0.12040012207687756,0.11755695960176143,0.10692668298169901,0.3842522931411152
52,BTCUSDT,executable_hurdle_lightgbm_fincast,5203,policy_calibration,short,-11.918890697168925,d7a4cd551c30a2d618ba11180aaaf0ce57a66a931ff34cef3568859ff0b9cdaf,0.9124970909937166,15684,161.023323656087,-0.01110706827532959,0.03891474796873069,-12.675611654300255,11f47770428a4f232ebcad473fcd66b75afac35c35268f2f77c7bc1f7b3c267f,1504,17188,159.25447334746505,0,0.09644390613997965,0.10358266943666862,0.0862890919316649,0.3546179142774204,0.12137987815988727,0.12503187962254528,0.1133648165103462,0.40360777708429507
52,BTCUSDT,executable_hurdle_lightgbm_fincast,5203,evaluation,long,-12.459302139155852,de03345dcd5ebaa558dd2daea6f3839faf0c6c2f950244d2a0f4a20296d0c978,0.9156514316753317,47200,117.88029571906254,-0.038207971181891454,0.03607739060450303,-11.593970368744875,f2a32f2275a647fc82ed2260278e01eed7bc5d95fbec85d7a98010d1c1539d58,4348,51548,113.54208308078017,0,0.09204336389458612,0.06979340964881577,0.018803844180908746,0.2601566318131172,0.04644540447343959,0.07677966101694915,0.07113094485225845,0.2728282502476501
52,BTCUSDT,executable_hurdle_lightgbm_fincast,5203,evaluation,short,-12.037685630849946,a753ebc48f6a0b86201eebd977266fa05b1782f9b65db97d2a5484fbedba2efe,0.9154574377279429,47190,117.56532514799306,-0.004320157200366159,0.05650218817351571,-12.966130533066808,ea42b820b057ee442791621c83090eeb8e3acc88b69abf234030b51f492163f9,4358,51548,117.0596092342875,0,0.06718757526005371,0.06985759637734458,0.06595778827557097,0.25742791256510483,0.09359671386909141,0.08099173553719008,0.07479062027440223,0.2840103478264811
52,ETHUSDT,executable_direct_mean_lightgbm,5201,policy_calibration,long,-12.604460071236254,d53af9940d3dc3d04a18ae808b1406842eb1f45334a8eda9f237e907d4fa569d,0.861814161866527,14812,107.28585950481144,0.00030893971116119356,0.07346116431922463,-11.98952158504477,732887db274d27d4d8fc5a31262daabded0d5380837de5070db9f29c0b945dff,2375,17187,107.31901461018721,0,,,,,,,,
52,ETHUSDT,executable_direct_mean_lightgbm,5201,policy_calibration,short,-11.955005986453049,8882c79c7f366aa8a68767fa237a0a86d90403ef8223274f6825699ea68e53ee,0.86321056612556,14836,110.33399563629071,-0.012857517080303582,0.07941298621861632,-12.720311931270347,4cb7619496fa1034a01d144f67033380aa072cd3be8ffdf98a784ed14704d442,2351,17187,108.93338280624418,0,,,,,,,,
52,ETHUSDT,executable_direct_mean_lightgbm,5201,evaluation,long,-12.645950411906107,8bb7c4ecbb2508e9c6ea3fcb5b30643348d477904839ac0cf10defb94d6b6647,0.8635640568014278,44515,138.1994624826451,0.00020927612892640557,0.07857947874912019,-11.770590424077792,f0c831364cd7e82a5c6232aea4c43a50bfe80b83fa2cb838b5607c346dbfa557,7033,51548,138.2283903850926,0,,,,,,,,
52,ETHUSDT,executable_direct_mean_lightgbm,5201,evaluation,short,-11.752488316735768,3d1eeb324faa6a36a8c70410934cf17cbe4847a9de20ff882e969b02852fa4ac,0.8631178707224335,44492,145.8226160248477,-0.010988715769906898,0.06261002520949141,-13.001160586752619,19788882e82130a4a945b53eb91e6b556d39102a926a38f3e49b278b249f737f,7056,51548,144.23762970865423,0,,,,,,,,
