record_type,symbol,horizon_seconds,feature_layer,head,metric,model_value,baseline_value,relative_improvement,q_value,passed,evaluation_report_sha256
layer_vs_uninformed_control,ETHUSDT,60,spot_perpetual,binary_direction,brier_score,0.24982600381001333,0.25000049854440337,0.0006979775456689879,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,ETHUSDT,60,spot_perpetual,continuous_return_bps,mean_squared_error,105.0438603334497,105.03074339605325,-0.00012488664720744502,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,ETHUSDT,60,spot_perpetual,continuous_return_bps,mean_absolute_error,6.142989387642215,6.145072930813531,0.00033905914458198794,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,ETHUSDT,300,perpetual_only,binary_direction,log_loss,0.6930578748878403,0.6931537346222462,0.0001382950557975236,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,ETHUSDT,300,perpetual_only,binary_direction,brier_score,0.24995370573692033,0.2500032770211982,0.00019828253800707694,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,ETHUSDT,300,perpetual_only,continuous_return_bps,mean_squared_error,528.5798509183285,528.3589508348217,-0.00041808714162550054,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,ETHUSDT,300,perpetual_only,continuous_return_bps,mean_absolute_error,13.81001949366492,13.808667980970657,-9.787422625584519e-05,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,ETHUSDT,300,spot_perpetual,binary_direction,log_loss,0.6931336717814899,0.6931537346222462,2.8944287182148846e-05,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,ETHUSDT,300,spot_perpetual,binary_direction,brier_score,0.24999207238600477,0.2500032770211982,4.4817953296118065e-05,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,ETHUSDT,300,spot_perpetual,continuous_return_bps,mean_squared_error,528.6029885515748,528.3589508348217,-0.0004618786458854274,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,ETHUSDT,300,spot_perpetual,continuous_return_bps,mean_absolute_error,13.811351296698119,13.808667980970657,-0.00019432111273576247,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,30,perpetual_only,binary_direction,log_loss,0.6932084186521906,0.6932433840907841,5.0437464526764024e-05,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,30,perpetual_only,binary_direction,brier_score,0.2500305410086633,0.2500480933046763,7.019568028313936e-05,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,30,perpetual_only,continuous_return_bps,mean_squared_error,114.28763205766127,114.28417437945367,-3.025509197907006e-05,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,30,perpetual_only,continuous_return_bps,mean_absolute_error,6.710915756449,6.710072826891621,-0.00012562152142381322,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,30,spot_perpetual,binary_direction,log_loss,0.6932427221350453,0.6932433840907841,9.548677332809872e-07,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
layer_vs_uninformed_control,SOLUSDT,30,spot_perpetual,binary_direction,brier_score,0.25004759326616116,0.2500480933046763,1.9997693585314436e-06,,,65900fa58299d56fffa04206dcff83a343e9b005ca71f654efe4e939508d3e3d
