base_net_payoff_bps,candidate_id,decision_index,decision_time_ms,entry_time_ms,event_code,event_name,exit_time_ms,holding_minutes,mean_seed_expected_payoff_bps,side,side_name,stop_bps,stress_net_payoff_bps,symbol,symbol_index,take_profit_bps,trade_id,worst_seed_expected_payoff_bps,decision_time_utc,entry_time_utc,exit_time_utc
148.0,direct_barrier_mean_tcn,323447,1738544400000,1738544460000,2,take_profit,1738545720000,21,3.496119181315104,-1,short,80.0,144.0,BTCUSDT,0,160.0,direct_barrier_mean_tcn:BTCUSDT:1738544400000:-1,0.7634735107421875,2025-02-03T01:00:00+00:00,2025-02-03T01:01:00+00:00,2025-02-03T01:22:00+00:00
-92.0,direct_barrier_mean_tcn,323461,1738548600000,1738548660000,0,stop_loss,1738548720000,1,3.357365926106771,-1,short,80.0,-96.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1738548600000:-1,1.1071014404296875,2025-02-03T02:10:00+00:00,2025-02-03T02:11:00+00:00,2025-02-03T02:12:00+00:00
-92.0,direct_barrier_mean_tcn,323466,1738550100000,1738550160000,0,stop_loss,1738550280000,2,2.92327880859375,-1,short,80.0,-96.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1738550100000:-1,2.40570068359375,2025-02-03T02:35:00+00:00,2025-02-03T02:36:00+00:00,2025-02-03T02:38:00+00:00
-92.0,direct_barrier_mean_tcn,323469,1738551000000,1738551060000,0,stop_loss,1738552020000,16,5.031077067057292,-1,short,80.0,-96.0,ETHUSDT,1,160.0,direct_barrier_mean_tcn:ETHUSDT:1738551000000:-1,0.136871337890625,2025-02-03T02:50:00+00:00,2025-02-03T02:51:00+00:00,2025-02-03T03:07:00+00:00
-92.0,direct_barrier_mean_tcn,323466,1738550100000,1738550160000,0,stop_loss,1738552800000,44,7.391815185546875,-1,short,80.0,-96.0,BTCUSDT,0,160.0,direct_barrier_mean_tcn:BTCUSDT:1738550100000:-1,4.5854949951171875,2025-02-03T02:35:00+00:00,2025-02-03T02:36:00+00:00,2025-02-03T03:20:00+00:00
148.0,direct_barrier_mean_tcn,323493,1738558200000,1738558260000,2,take_profit,1738558800000,9,3.994318644205729,-1,short,80.0,144.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1738558200000:-1,2.49298095703125,2025-02-03T04:50:00+00:00,2025-02-03T04:51:00+00:00,2025-02-03T05:00:00+00:00
-92.0,direct_barrier_mean_tcn,323495,1738558800000,1738558860000,0,stop_loss,1738559340000,8,4.2495473225911455,-1,short,80.0,-96.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1738558800000:-1,1.4963531494140625,2025-02-03T05:00:00+00:00,2025-02-03T05:01:00+00:00,2025-02-03T05:09:00+00:00
-92.0,direct_barrier_mean_tcn,323508,1738562700000,1738562760000,0,stop_loss,1738563420000,11,6.1085764567057295,-1,short,80.0,-96.0,ETHUSDT,1,160.0,direct_barrier_mean_tcn:ETHUSDT:1738562700000:-1,0.49560546875,2025-02-03T06:05:00+00:00,2025-02-03T06:06:00+00:00,2025-02-03T06:17:00+00:00
-92.0,direct_barrier_mean_tcn,323535,1738570800000,1738570860000,0,stop_loss,1738573320000,41,10.247319539388021,-1,short,80.0,-96.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1738570800000:-1,0.3620147705078125,2025-02-03T08:20:00+00:00,2025-02-03T08:21:00+00:00,2025-02-03T09:02:00+00:00
-0.20777739584445953,direct_barrier_mean_tcn,323597,1738589400000,1738589460000,1,timeout,1738593060000,60,4.6796417236328125,-1,short,80.0,-4.2077773958444595,ETHUSDT,1,160.0,direct_barrier_mean_tcn:ETHUSDT:1738589400000:-1,0.89263916015625,2025-02-03T13:30:00+00:00,2025-02-03T13:31:00+00:00,2025-02-03T14:31:00+00:00
148.0,direct_barrier_mean_tcn,323696,1738619100000,1738619160000,2,take_profit,1738621800000,44,2.775141398111979,1,long,80.0,144.0,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1738619100000:1,1.55792236328125,2025-02-03T21:45:00+00:00,2025-02-03T21:46:00+00:00,2025-02-03T22:30:00+00:00
-20.818632125854492,direct_barrier_mean_tcn,324045,1738723800000,1738723860000,1,timeout,1738727460000,60,2.323176066080729,1,long,80.0,-24.818632125854492,ETHUSDT,1,160.0,direct_barrier_mean_tcn:ETHUSDT:1738723800000:1,1.80572509765625,2025-02-05T02:50:00+00:00,2025-02-05T02:51:00+00:00,2025-02-05T03:51:00+00:00
-47.15192413330078,direct_barrier_mean_tcn,324047,1738724400000,1738724460000,1,timeout,1738728060000,60,1.9844309488932292,1,long,80.0,-51.15192413330078,SOLUSDT,2,160.0,direct_barrier_mean_tcn:SOLUSDT:1738724400000:1,0.2014923095703125,2025-02-05T03:00:00+00:00,2025-02-05T03:01:00+00:00,2025-02-05T04:01:00+00:00
43.125953674316406,direct_barrier_mean_tcn,324490,1738857300000,1738857360000,1,timeout,1738860960000,60,1.892242431640625,-1,short,80.0,39.125953674316406,BTCUSDT,0,160.0,direct_barrier_mean_tcn:BTCUSDT:1738857300000:-1,0.6451416015625,2025-02-06T15:55:00+00:00,2025-02-06T15:56:00+00:00,2025-02-06T16:56:00+00:00
