signal,horizon_seconds,date,rows,weighted_roc_auc,unweighted_roc_auc,spearman_information_coefficient,weighted_direction_accuracy
trade_imbalance_300s_mean,30,2023-06-23,5782,0.5026761903990707,0.49791450100218815,-0.008303751458303968,0.49757038483370697
trade_imbalance_300s_mean,30,2023-06-24,4673,0.48618848527435976,0.48824432521667355,-0.03301131408635392,0.4913132899503071
trade_imbalance_300s_mean,30,2023-06-25,5210,0.5158244682774945,0.5216504539329657,0.02826139394962443,0.5163299049451621
signed_pressure_to_opposing_depth_10s,30,2023-06-21,6459,0.4990799638784671,0.49437324778228203,-0.016521170807400787,0.49802710641719233
signed_pressure_to_opposing_depth_10s,30,2023-06-22,6143,0.49741454907931065,0.500651402944248,0.00034376540780350364,0.4956557633080233
signed_pressure_to_opposing_depth_10s,30,2023-06-23,5782,0.5036560159126683,0.499867188531981,-0.016050675816408618,0.4902018149590084
signed_pressure_to_opposing_depth_10s,30,2023-06-24,4673,0.5241029540166069,0.5159603796945935,0.009711095223212776,0.5088545200914402
signed_pressure_to_opposing_depth_10s,30,2023-06-25,5210,0.5281941490252704,0.5252151333387562,0.03942924865370574,0.5151268954633295
signed_pressure_to_opposing_depth_60s,30,2023-06-21,6459,0.4882353235755799,0.4812356898224675,-0.04558465625831699,0.48705336171867436
signed_pressure_to_opposing_depth_60s,30,2023-06-22,6143,0.48912392918156905,0.49083964609651237,-0.024034168594340276,0.4923207415595228
signed_pressure_to_opposing_depth_60s,30,2023-06-23,5782,0.4977407353597312,0.4926945317091568,-0.026951636025830224,0.489091110849751
signed_pressure_to_opposing_depth_60s,30,2023-06-24,4673,0.500046807805062,0.498308891640299,-0.01421366327212171,0.4828489752299622
signed_pressure_to_opposing_depth_60s,30,2023-06-25,5210,0.5025632185575148,0.50294001318003,0.0030520906057915098,0.48921504111515896
signed_pressure_to_opposing_depth_300s,30,2023-06-21,6459,0.4716412056381613,0.4723920480476795,-0.06207604823688728,0.47193390177642464
signed_pressure_to_opposing_depth_300s,30,2023-06-22,6143,0.48227515087914763,0.48742433961163917,-0.02055513021416258,0.4842037782173362
signed_pressure_to_opposing_depth_300s,30,2023-06-23,5782,0.48900709748536425,0.4917537239857033,-0.024854672483094004,0.48048909960114883
signed_pressure_to_opposing_depth_300s,30,2023-06-24,4673,0.4815825278056787,0.47836217728252395,-0.06045016492209986,0.46705138211475045
signed_pressure_to_opposing_depth_300s,30,2023-06-25,5210,0.4911673835539254,0.4927820768096311,-0.009281730162647432,0.4822870650754975
l1_imbalance,60,2023-06-21,6482,0.5177718900761317,0.5153608080019856,0.024849885425554552,0.5084032735981101
l1_imbalance,60,2023-06-22,6196,0.5069441539532047,0.5142051737475651,0.037764726607308244,0.5010841045894514
l1_imbalance,60,2023-06-23,5837,0.5307492828656929,0.524666920727591,0.03842002081758903,0.5201152971550006
l1_imbalance,60,2023-06-24,4786,0.5414651637997127,0.5373943385477613,0.06139348327046629,0.5350637507296898
l1_imbalance,60,2023-06-25,5277,0.5244062540622876,0.5239058958202897,0.04830615176640908,0.5168540732460216
microprice_offset_bps,60,2023-06-21,6482,0.5167186924982431,0.5143008040754801,0.023488109517367406,0.508164627952218
microprice_offset_bps,60,2023-06-22,6196,0.5072713291935856,0.5139940246365654,0.036415771179360124,0.501701179371122
microprice_offset_bps,60,2023-06-23,5837,0.5304641806750785,0.5243675420967446,0.03820351246293565,0.5190400379182472
microprice_offset_bps,60,2023-06-24,4786,0.5408372791190617,0.536767350943692,0.060269855418042494,0.5344022782257728
microprice_offset_bps,60,2023-06-25,5277,0.5231289632094586,0.5228969348446534,0.046971173012741056,0.5151898488263701
normalized_ofi,60,2023-06-21,6482,0.5079397407092029,0.5077370179554196,0.011933796582828587,0.5021938277179182
normalized_ofi,60,2023-06-22,6196,0.49472928404786043,0.49517886623667323,0.00015067587475131933,0.4949161879868904
normalized_ofi,60,2023-06-23,5837,0.5191602550306287,0.5127410849152853,0.015388230342994635,0.5135099162396833
normalized_ofi,60,2023-06-24,4786,0.527561038840009,0.524901739573477,0.03895434178001888,0.5132158500653623
normalized_ofi,60,2023-06-25,5277,0.5069073259013167,0.5180946368904176,0.04490551201407151,0.5068381040169265
ofi_10s_mean,60,2023-06-21,6482,0.5041303638158658,0.500956597048904,-0.007468686849950804,0.5018675551913937
ofi_10s_mean,60,2023-06-22,6196,0.4817576900424507,0.4899562363489493,-0.012095694566661165,0.4865105988147257
ofi_10s_mean,60,2023-06-23,5837,0.49624290192018866,0.49150645213780997,-0.024853494765852253,0.498471465301452
ofi_10s_mean,60,2023-06-24,4786,0.5218817361176231,0.5165160100108058,0.014650685247251157,0.5138112492228308
ofi_10s_mean,60,2023-06-25,5277,0.5184924404036122,0.5178256955624394,0.032052126547274865,0.5063071397561465
ofi_60s_mean,60,2023-06-21,6482,0.4946455481415205,0.4877359633864327,-0.038187337483785715,0.49252581157801917
ofi_60s_mean,60,2023-06-22,6196,0.4945699788953828,0.49578801838801156,-0.018945798997665554,0.4963115328239683
ofi_60s_mean,60,2023-06-23,5837,0.48898037058703464,0.48216172973693894,-0.03130185282015763,0.49747817233500174
ofi_60s_mean,60,2023-06-24,4786,0.5137299500840331,0.5056097325412777,0.00025836451952078893,0.5092603013125451
ofi_60s_mean,60,2023-06-25,5277,0.5096982309244128,0.5080387884652904,0.010845604121813145,0.5097286245782622
ofi_300s_mean,60,2023-06-21,6482,0.4957805971237944,0.4918506894316264,-0.0445527088487337,0.5005709521754543
ofi_300s_mean,60,2023-06-22,6196,0.5059936933495053,0.5071992462445958,0.011694682087106736,0.5070923963264795
ofi_300s_mean,60,2023-06-23,5837,0.505846671786485,0.4986584315236541,0.0013268363532415086,0.5119876929059051
ofi_300s_mean,60,2023-06-24,4786,0.5145950286197374,0.5131418071520153,0.011152734809870684,0.5145038517549527
ofi_300s_mean,60,2023-06-25,5277,0.5072612313657042,0.5085660398935383,0.011364122341585497,0.5071556456451793
trade_imbalance,60,2023-06-21,6482,0.4942555496909303,0.4928348902528363,-0.01859379004649642,0.4942561226444791
trade_imbalance,60,2023-06-22,6196,0.4949963103623955,0.49792422176433276,0.007889311607778043,0.500099261165001
trade_imbalance,60,2023-06-23,5837,0.4910826115592758,0.49189623137483357,-0.013103918542920296,0.4917392598329709
trade_imbalance,60,2023-06-24,4786,0.5040046552935772,0.4990046232790428,-0.006293679612371663,0.5098079742227625
trade_imbalance,60,2023-06-25,5277,0.5127632918081783,0.5107266214274406,0.021529454996787437,0.5166161413659042
trade_imbalance_10s_mean,60,2023-06-21,6482,0.49326676464540486,0.4845644854156256,-0.04165556442769933,0.4928249825505935
trade_imbalance_10s_mean,60,2023-06-22,6196,0.479595306049041,0.4845780338816641,-0.02449678767348667,0.48430507898482617
trade_imbalance_10s_mean,60,2023-06-23,5837,0.4992504598543866,0.48960299106254995,-0.025073904042561126,0.4971138564410954
trade_imbalance_10s_mean,60,2023-06-24,4786,0.4928134170466709,0.48700586343200436,-0.03307582805819763,0.5040581097765522
trade_imbalance_10s_mean,60,2023-06-25,5277,0.516174874959992,0.5186654188861749,0.029555700898674618,0.512641624055438
trade_imbalance_60s_mean,60,2023-06-21,6482,0.49060055583032824,0.48047250030202054,-0.045642230514292274,0.49188872069811446
trade_imbalance_60s_mean,60,2023-06-22,6196,0.4865625174206823,0.49059354171508757,-0.024223729204181296,0.49465617036061926
trade_imbalance_60s_mean,60,2023-06-23,5837,0.4962229773511529,0.48661754039439553,-0.026003992733775152,0.4989952492372214
trade_imbalance_60s_mean,60,2023-06-24,4786,0.4843083418464828,0.4821997458106345,-0.040791390959783604,0.4870175768603584
trade_imbalance_60s_mean,60,2023-06-25,5277,0.4882669165214504,0.4971703694466561,0.00483527288278602,0.49436989529972125
trade_imbalance_300s_mean,60,2023-06-21,6482,0.48958974521498166,0.4824299367153723,-0.048148612930724886,0.4835071840162265
trade_imbalance_300s_mean,60,2023-06-22,6196,0.5084090909817999,0.5151126978402001,0.03588082643262409,0.5144054107757698
