baseline_brier,baseline_log_loss,brier,brier_skill,candidate_id,evaluation_prevalence,expected_calibration_error_10_bin,horizon_minutes,log_loss,log_loss_skill,month,roc_auc,rows,scope,side,symbol,training_prevalence
0.21298639024415253,0.6172906313664014,0.20441729791972854,0.040233051109983986,direct_action_mean_tcn,0.30662393162393164,0.007116432436297522,15,0.5953488354534591,0.03554532467854432,,0.6186285444413148,156312,pooled,long,,0.2871125486709385
0.17880940982846813,0.543106602044895,0.1698613767794353,0.05004229395766513,direct_action_mean_tcn,0.23314908644249963,0.0053109503010825235,15,0.5167799941163278,0.04847410771558058,,0.6521087049887243,52104,symbol,long,BTCUSDT,0.228810896158445
0.22271959109158587,0.6387414899744563,0.21451580170015438,0.03683461051281278,direct_action_mean_tcn,0.3251957623215108,0.009099903432724326,15,0.6192036699178957,0.030587992737628467,,0.5923825311324676,52104,symbol,long,ETHUSDT,0.2679584265873624
0.23083446332078825,0.6543116766753596,0.22887471527959583,0.008489841651023178,direct_action_mean_tcn,0.3615269461077844,0.008592441237052446,15,0.6500628423261537,0.0064935939563156575,,0.5555153601023578,52104,symbol,long,SOLUSDT,0.364568323267008
0.2138204189106724,0.6188087354818523,0.20640921396286913,0.03466088498731945,direct_action_mean_tcn,0.31339605734767023,0.010765632685381096,15,0.6002759382603076,0.029949152555375114,2025-01,0.6226355168630121,26784,month,long,,0.28711254867093844
0.2124072022525039,0.6155123550226105,0.20634980134189662,0.028517869669063334,direct_action_mean_tcn,0.31047453703703703,0.012258272394977284,15,0.5990718345647983,0.026710301302088846,2025-02,0.6102372795502911,24192,month,long,,0.28711254867093844
0.21752318896375478,0.6270707441686751,0.21157216790651834,0.027358099546012205,direct_action_mean_tcn,0.3196311230585424,0.010378151207063325,15,0.6117013194179708,0.024509873716210495,2025-03,0.5985356480852029,26784,month,long,,0.28711254867093844
0.21501173439138946,0.6213536564877433,0.20863435306102981,0.029660619911798802,direct_action_mean_tcn,0.31593364197530865,0.009138964396018016,15,0.6051268520612363,0.02611524734276205,2025-04,0.6124665295065518,25920,month,long,,0.28711254867093844
0.2118944922155278,0.6142119084664212,0.20517536966967873,0.03170975552783484,direct_action_mean_tcn,0.310110513739546,0.020031160757282014,15,0.5970079562173148,0.028009799243491673,2025-05,0.6264029250056431,26784,month,long,,0.28711254867093844
0.19376808556476713,0.5746912403232579,0.18811627258593294,0.029167924957100633,direct_action_mean_tcn,0.26957598266790467,0.001009860834817601,15,0.5582897466420105,0.028539661874821265,2025-06,0.6340800758065929,25848,month,long,,0.28711254867093844
0.21219219146795168,0.6156350380960857,0.20369970910744045,0.040022596033152724,hurdle_action_value_tcn,0.3044551921797431,0.0035083816246076704,15,0.5938308426946256,0.03541740487820799,,0.6181010752369545,156312,pooled,short,,0.28371963495518704
0.17731482145830502,0.5397870804573548,0.16872743410036212,0.048430172319025244,hurdle_action_value_tcn,0.2303086135421465,0.0051694376141839,15,0.5139961862442811,0.04777975454918515,,0.6494951823176408,52104,symbol,short,BTCUSDT,0.22336128399300972
0.22071876674654373,0.6346266669565426,0.21354284355052355,0.03251161331587382,hurdle_action_value_tcn,0.319706740365423,0.007476052673489451,15,0.6175275441827869,0.026943593240034147,,0.5824336379343146,52104,symbol,short,ETHUSDT,0.26292270901677034
0.23132916302241313,0.6553264866044216,0.22882884967143574,0.010808465816889434,hurdle_action_value_tcn,0.3633502226316598,0.007442005271223343,15,0.6499687976568087,0.008175602630337453,,0.5623993984678364,52104,symbol,short,SOLUSDT,0.36487491185578064
0.21258250631001202,0.6162521791353321,0.20714483195562577,0.02557912430694753,hurdle_action_value_tcn,0.3096998207885305,0.005983471281576891,15,0.6021106531072938,0.022947628433347522,2025-01,0.606866960401426,26784,month,short,,0.283719634955187
0.22091987402689975,0.6339443817162992,0.21198324785278297,0.040451888783118894,hurdle_action_value_tcn,0.3325479497354497,0.017300003798304056,15,0.610875957016519,0.03638872015448147,2025-02,0.6256584326651161,24192,month,short,,0.283719634955187
