round,treatment,view,objective,seed,fold,loss_skill,final_iterations,backend,device,reload_max_abs_prediction_error_bps,model_sha256,file_sha256
56,baseline_72,raw_stress_payoff,conditional_mean,5603,2023-11,0.013227906569165615,46,opencl,opencl:auto,0.0,1910ac1e44d7461a64b41a7cb683fe8f76dd2a9fd558b1fa873fad485ec90b47,a9ed13a2da4f61f13b20f8f7685897035cfc1264038a1a66a9c6e9f2db2751e1
56,baseline_72,raw_stress_payoff,conditional_mean,5603,2023-12,-0.008913811006921568,46,opencl,opencl:auto,0.0,1910ac1e44d7461a64b41a7cb683fe8f76dd2a9fd558b1fa873fad485ec90b47,a9ed13a2da4f61f13b20f8f7685897035cfc1264038a1a66a9c6e9f2db2751e1
56,baseline_72,raw_stress_payoff,conditional_mean,5603,2024-01,-0.005399739595801645,46,opencl,opencl:auto,0.0,1910ac1e44d7461a64b41a7cb683fe8f76dd2a9fd558b1fa873fad485ec90b47,a9ed13a2da4f61f13b20f8f7685897035cfc1264038a1a66a9c6e9f2db2751e1
56,baseline_72,raw_stress_payoff,conditional_mean,5603,2024-02,-0.00020540695698167966,46,opencl,opencl:auto,0.0,1910ac1e44d7461a64b41a7cb683fe8f76dd2a9fd558b1fa873fad485ec90b47,a9ed13a2da4f61f13b20f8f7685897035cfc1264038a1a66a9c6e9f2db2751e1
56,baseline_72,raw_stress_payoff,conditional_mean,5603,2024-03,-0.00103798662844512,46,opencl,opencl:auto,0.0,1910ac1e44d7461a64b41a7cb683fe8f76dd2a9fd558b1fa873fad485ec90b47,a9ed13a2da4f61f13b20f8f7685897035cfc1264038a1a66a9c6e9f2db2751e1
56,baseline_72,raw_stress_payoff,conditional_mean,5603,2024-04,4.0611601017426224e-05,46,opencl,opencl:auto,0.0,1910ac1e44d7461a64b41a7cb683fe8f76dd2a9fd558b1fa873fad485ec90b47,a9ed13a2da4f61f13b20f8f7685897035cfc1264038a1a66a9c6e9f2db2751e1
56,baseline_72,raw_stress_payoff,conditional_mean,5603,2024-05,0.0021014536292275343,46,opencl,opencl:auto,0.0,1910ac1e44d7461a64b41a7cb683fe8f76dd2a9fd558b1fa873fad485ec90b47,a9ed13a2da4f61f13b20f8f7685897035cfc1264038a1a66a9c6e9f2db2751e1
56,baseline_72,raw_stress_payoff,conditional_mean,5603,2024-06,-0.006571702692022008,46,opencl,opencl:auto,0.0,1910ac1e44d7461a64b41a7cb683fe8f76dd2a9fd558b1fa873fad485ec90b47,a9ed13a2da4f61f13b20f8f7685897035cfc1264038a1a66a9c6e9f2db2751e1
56,baseline_72,raw_stress_payoff,lower_tail_q20,5601,2023-07,0.19255119770320672,305,opencl,opencl:auto,0.0,1025d35d2fcf1d92f63d0b12e209b27db244e27ebc8e123bd12a45f6eeee2b09,3895e3bd1f640fa6e5d3e58a1c3d92561842666ae63ad5e0b57f677ca80812cc
56,baseline_72,raw_stress_payoff,lower_tail_q20,5601,2023-08,0.22089004917336397,305,opencl,opencl:auto,0.0,1025d35d2fcf1d92f63d0b12e209b27db244e27ebc8e123bd12a45f6eeee2b09,3895e3bd1f640fa6e5d3e58a1c3d92561842666ae63ad5e0b57f677ca80812cc
56,baseline_72,raw_stress_payoff,lower_tail_q20,5601,2023-09,0.1781540579623544,305,opencl,opencl:auto,0.0,1025d35d2fcf1d92f63d0b12e209b27db244e27ebc8e123bd12a45f6eeee2b09,3895e3bd1f640fa6e5d3e58a1c3d92561842666ae63ad5e0b57f677ca80812cc
56,baseline_72,raw_stress_payoff,lower_tail_q20,5601,2023-10,0.10532578612095167,305,opencl,opencl:auto,0.0,1025d35d2fcf1d92f63d0b12e209b27db244e27ebc8e123bd12a45f6eeee2b09,3895e3bd1f640fa6e5d3e58a1c3d92561842666ae63ad5e0b57f677ca80812cc
56,baseline_72,raw_stress_payoff,lower_tail_q20,5601,2023-11,0.13493152894671334,305,opencl,opencl:auto,0.0,1025d35d2fcf1d92f63d0b12e209b27db244e27ebc8e123bd12a45f6eeee2b09,3895e3bd1f640fa6e5d3e58a1c3d92561842666ae63ad5e0b57f677ca80812cc
56,baseline_72,raw_stress_payoff,lower_tail_q20,5601,2023-12,0.09018705973125762,305,opencl,opencl:auto,0.0,1025d35d2fcf1d92f63d0b12e209b27db244e27ebc8e123bd12a45f6eeee2b09,3895e3bd1f640fa6e5d3e58a1c3d92561842666ae63ad5e0b57f677ca80812cc
56,baseline_72,raw_stress_payoff,lower_tail_q20,5601,2024-01,0.08626448519816254,305,opencl,opencl:auto,0.0,1025d35d2fcf1d92f63d0b12e209b27db244e27ebc8e123bd12a45f6eeee2b09,3895e3bd1f640fa6e5d3e58a1c3d92561842666ae63ad5e0b57f677ca80812cc
56,baseline_72,raw_stress_payoff,lower_tail_q20,5601,2024-02,0.06013128434482384,305,opencl,opencl:auto,0.0,1025d35d2fcf1d92f63d0b12e209b27db244e27ebc8e123bd12a45f6eeee2b09,3895e3bd1f640fa6e5d3e58a1c3d92561842666ae63ad5e0b57f677ca80812cc
56,baseline_72,raw_stress_payoff,lower_tail_q20,5601,2024-03,0.10616538447255153,305,opencl,opencl:auto,0.0,1025d35d2fcf1d92f63d0b12e209b27db244e27ebc8e123bd12a45f6eeee2b09,3895e3bd1f640fa6e5d3e58a1c3d92561842666ae63ad5e0b57f677ca80812cc
56,baseline_72,raw_stress_payoff,lower_tail_q20,5601,2024-04,0.07909841780425253,305,opencl,opencl:auto,0.0,1025d35d2fcf1d92f63d0b12e209b27db244e27ebc8e123bd12a45f6eeee2b09,3895e3bd1f640fa6e5d3e58a1c3d92561842666ae63ad5e0b57f677ca80812cc
56,baseline_72,raw_stress_payoff,lower_tail_q20,5601,2024-05,0.0603397288037848,305,opencl,opencl:auto,0.0,1025d35d2fcf1d92f63d0b12e209b27db244e27ebc8e123bd12a45f6eeee2b09,3895e3bd1f640fa6e5d3e58a1c3d92561842666ae63ad5e0b57f677ca80812cc
56,baseline_72,raw_stress_payoff,lower_tail_q20,5601,2024-06,0.09337672144654907,305,opencl,opencl:auto,0.0,1025d35d2fcf1d92f63d0b12e209b27db244e27ebc8e123bd12a45f6eeee2b09,3895e3bd1f640fa6e5d3e58a1c3d92561842666ae63ad5e0b57f677ca80812cc
56,baseline_72,raw_stress_payoff,lower_tail_q20,5602,2023-07,0.19358630171741964,303,opencl,opencl:auto,0.0,2d86f740b6ed7cc08ceeb845b08c679df240f43e31b7614b23b460d9f250f360,e820c4d564d4c31b2d35f9ebd635c9b403f97b5e748c2340f847e1f91a3f6ae8
