round,treatment,interval,controller,symbol,closed_trades,active_days,total_initial_capital_return_fraction,mean_trade_initial_capital_bps,mean_stress_payoff_bps,positive_trade_fraction,stop_loss_fraction,mean_stop_bps
55,ai_program_augmented,policy_development,pooled_nine_consensus,ETHUSDT,12,11,0.002438003743367915,2.0316697861399295,54.473092476526894,0.75,0.08333333333333333,171.1802660624186
55,ai_program_augmented,policy_development,pooled_nine_consensus,SOLUSDT,7,7,-3.109540922973937e-05,-0.04442201318534195,14.601878574916295,0.42857142857142855,0.14285714285714285,182.4024418422154
55,ai_program_augmented,development_holdout,all_view_consensus,BTCUSDT,1,1,-0.0005534300633583157,-5.5343006335831575,-165.7284393310547,0.0,1.0,149.7284393310547
55,ai_program_augmented,development_holdout,all_view_consensus,ETHUSDT,2,2,-8.959409749669482e-05,-0.4479704874834741,-52.765663146972656,0.5,0.5,184.13619232177734
55,ai_program_augmented,development_holdout,all_view_consensus,SOLUSDT,2,2,0.0012020889720785258,6.010444860392629,13.799606323242188,0.5,0.5,146.73549270629883
55,ai_program_augmented,development_holdout,majority_view_consensus,BTCUSDT,4,4,-0.0003972659558315305,-0.9931648895788263,-33.131161630153656,0.5,0.25,159.84906005859375
55,ai_program_augmented,development_holdout,majority_view_consensus,ETHUSDT,5,5,-0.0003496844668322897,-0.6993689336645793,-25.34929940700531,0.2,0.2,162.75685119628906
55,ai_program_augmented,development_holdout,majority_view_consensus,SOLUSDT,4,4,0.0017381512109251216,4.345378027312804,40.19289588928223,0.75,0.25,171.41826820373535
55,ai_program_augmented,development_holdout,pooled_nine_consensus,BTCUSDT,3,3,-0.0003376132575796495,-1.1253775252654983,-40.001448233922325,0.6666666666666666,0.3333333333333333,160.66043090820312
55,ai_program_augmented,development_holdout,pooled_nine_consensus,ETHUSDT,2,2,-8.959409749669482e-05,-0.4479704874834741,-52.765663146972656,0.5,0.5,184.13619232177734
55,ai_program_augmented,development_holdout,pooled_nine_consensus,SOLUSDT,3,3,0.0015274223772658204,5.091407924219402,41.95221964518229,0.6666666666666666,0.3333333333333333,173.3288548787435
