signal,family,horizon_seconds,direction_rows,weighted_roc_auc,unweighted_roc_auc,spearman_information_coefficient,weighted_direction_accuracy,daily_auc_minimum,daily_auc_median,daily_auc_standard_deviation,days_above_chance,routed_rows,delayed_l1_eligible_rows,mean_signal_aligned_gross_midquote_return_bps,mean_cross_spread_gross_return_bps,mean_spread_crossing_cost_bps,mean_fee_and_slippage_cost_bps,mean_historical_latency_drag_bps,mean_delayed_net_return_bps,delayed_net_positive_rate,nonoverlapping_rows,nonoverlapping_weighted_roc_auc,nonoverlapping_mean_delayed_net_return_bps,placebo_observed_rank_descending,placebo_exceedance_fraction,placebo_mean_auc,placebo_auc_standard_deviation,placebo_auc_95_low,placebo_auc_95_high,nonfinite_signal_rows
ofi_10s_mean,order_flow_imbalance,30,28267,0.5177079310100995,0.5133319325479009,0.01665473782040553,0.5110943690335731,0.49554458216734387,0.5120260802772869,0.019652056243249293,4,28823,27892,0.039574604373291085,0.0033776549027343013,0.03619694947055679,12.00002950849377,0.03623893919517503,-11.996651853591036,0.0192886849275778,10546,0.5227130820497307,-11.919425036112447,1,0.004975124378109453,0.4999930503665398,0.0036167453932623344,0.49224032433363657,0.5067762894864578,0
ofi_60s_mean,order_flow_imbalance,30,28267,0.5126625049173003,0.504259578093601,-0.010714396666502299,0.5101207589301459,0.4970958885750823,0.509173416292144,0.0117786774534011,4,28823,27961,-0.09015597126048586,-0.1264207302076574,0.036264758947171565,12.00003169119669,-0.0068466293014095864,-12.12645242140435,0.01841851149815815,10546,0.5202963714771335,-12.083013053328001,1,0.004975124378109453,0.5002484490332011,0.003802173232900997,0.49294040070905265,0.5077729618066261,0
ofi_300s_mean,order_flow_imbalance,30,28267,0.5115086584502633,0.5087175562879087,0.002136830210235424,0.5074349219718918,0.5005472660882034,0.5134667679351219,0.007476171170796573,5,28823,27986,-0.031234802593061974,-0.067528150728149,0.036293348135087014,12.000028783219184,-0.017806026823708528,-12.067556933947333,0.01900950475237619,10546,0.5083549284028499,-12.110195467915688,1,0.004975124378109453,0.5002221269196585,0.003923757529956781,0.49266977445974425,0.5078854029510059,0
trade_imbalance,aggressor_trade_flow,30,28267,0.5105575286616053,0.5091396843747954,0.011780799489169588,0.506658115138416,0.4974162041750626,0.5091427808852879,0.011415984765838954,3,28725,27846,-0.006176736566946757,-0.04240051562070669,0.03622377905375993,12.000037944475478,0.009042677766383681,-12.042438460096186,0.01957193133663722,10546,0.5175149995722014,-11.98337298969425,1,0.004975124378109453,0.5005820766286277,0.0035241992951432427,0.4932402040441463,0.5076620797400412,0
trade_imbalance_10s_mean,aggressor_trade_flow,30,28267,0.511061900682091,0.5066253873366641,-0.0006648541033674027,0.5100439440506507,0.4967863151079358,0.5071010100140506,0.012099250169903118,4,28823,27962,-0.00023711707031463236,-0.0364592748425277,0.03622215777221306,12.000027214785225,-0.013412587665193501,-12.036486489627752,0.019133109219655248,10546,0.5091338291059097,-12.02379501382002,1,0.004975124378109453,0.5001298556736069,0.003505868596425809,0.49319490119786513,0.5060529383364929,0
trade_imbalance_60s_mean,aggressor_trade_flow,30,28267,0.49846672985409163,0.49427446352069065,-0.02421432247646496,0.5028488318701378,0.49238419274810374,0.49532580129400156,0.0058233302915956095,2,28823,27981,-0.0353397261761619,-0.0715579706643594,0.03621824448819751,12.000028577486999,-0.013930033172628573,-12.071586548151359,0.01979914942282263,10546,0.4998583387890436,-12.062685356637246,133,0.6616915422885572,0.500186965218405,0.0036851606620548804,0.4936126628217217,0.5071249856548675,0
trade_imbalance_300s_mean,aggressor_trade_flow,30,28267,0.5014553363517905,0.5032812628588833,-0.0017561382279393809,0.4992680001850909,0.48595842550706403,0.5026761903990707,0.012218479952803441,3,28823,27946,-0.01608040786689358,-0.05238259171584567,0.036302183848952084,12.000023087589822,-0.020579762182061916,-12.052405679305672,0.019537679811064194,10546,0.4937105228151423,-12.080167178663809,87,0.43283582089552236,0.5004598928028401,0.00357648478660816,0.4929670094201066,0.5068495794244449,0
signed_pressure_to_opposing_depth_10s,depth_normalized_aggressor_flow,30,28267,0.5094511177278375,0.5056743500193216,-3.721957905371304e-05,0.5012932668335489,0.49741454907931065,0.5036560159126683,0.013012371714838255,3,28823,27948,-0.027771989749708258,-0.06405714905280151,0.03628515930309326,12.000024268144278,0.0036080573496934058,-12.06408141719708,0.0190353513668241,10546,0.5109644810759617,-12.045891097911042,2,0.009950248756218905,0.5004229996490206,0.0037454052184418994,0.49375132790386855,0.5078720889009576,0
signed_pressure_to_opposing_depth_60s,depth_normalized_aggressor_flow,30,28267,0.4952997408757723,0.4923403247542577,-0.02400223981059702,0.48820763253433497,0.4882353235755799,0.4977407353597312,0.005813852319703354,2,28823,27973,-0.11343267670736826,-0.14967487626318438,0.03624219955581611,12.000021756460047,-0.021094841972601294,-12.149696632723234,0.01944732420548386,10546,0.5007721840126963,-12.081459220804977,176,0.8756218905472637,0.49995871892939603,0.0038627890417382454,0.4931245929463754,0.508664890166224,0
signed_pressure_to_opposing_depth_300s,depth_normalized_aggressor_flow,30,28267,0.48300137590889625,0.48434140904208617,-0.03539788562971526,0.4773104650478057,0.4716412056381613,0.48227515087914763,0.006844816040736098,0,28823,27952,-0.13370076065932435,-0.16993811355370175,0.03623735289437742,12.00002833306289,-0.019794954742263386,-12.169966446616593,0.020105895821408128,10546,0.4811733975782664,-12.18058153673503,201,1.0,0.4999388343368739,0.003553532016175561,0.49227594621385606,0.5066082637023008,0
