round,treatment,interval,controller,symbol,stage,relation,eligible_rows,total_rows,eligible_fraction
55,baseline_71,policy_development,pooled_nine_consensus,ALL,market_eligible_long,controller_side,45,4461,0.010087424344317418
55,baseline_71,policy_development,pooled_nine_consensus,ALL,market_eligible_short,controller_side,1,4461,0.00022416498542927594
55,baseline_71,policy_development,pooled_nine_consensus,BTCUSDT,all_rows,denominator,1487,1487,1.0
55,baseline_71,policy_development,pooled_nine_consensus,BTCUSDT,any_view_vote,independent_model_stage,56,1487,0.03765971755211836
55,baseline_71,policy_development,pooled_nine_consensus,BTCUSDT,two_view_side_agreement,independent_model_stage,21,1487,0.014122394082044385
55,baseline_71,policy_development,pooled_nine_consensus,BTCUSDT,all_view_positive,exact_rule_stage,7,1487,0.004707464694014795
55,baseline_71,policy_development,pooled_nine_consensus,BTCUSDT,all_view_positive_preferred,exact_rule_stage,7,1487,0.004707464694014795
55,baseline_71,policy_development,pooled_nine_consensus,BTCUSDT,all_view_seed_supported,exact_rule_stage,7,1487,0.004707464694014795
55,baseline_71,policy_development,pooled_nine_consensus,BTCUSDT,controller_model_eligible,controller_stage,14,1487,0.00941492938802959
55,baseline_71,policy_development,pooled_nine_consensus,BTCUSDT,liquidity_eligible,market_gate,992,1487,0.6671149966375253
55,baseline_71,policy_development,pooled_nine_consensus,BTCUSDT,volatility_eligible,market_gate,1474,1487,0.9912575655682583
55,baseline_71,policy_development,pooled_nine_consensus,BTCUSDT,model_plus_liquidity,controller_stage,13,1487,0.008742434431741762
55,baseline_71,policy_development,pooled_nine_consensus,BTCUSDT,model_plus_volatility,controller_stage,14,1487,0.00941492938802959
55,baseline_71,policy_development,pooled_nine_consensus,BTCUSDT,market_eligible,controller_stage,13,1487,0.008742434431741762
55,baseline_71,policy_development,pooled_nine_consensus,BTCUSDT,market_eligible_long,controller_side,13,1487,0.008742434431741762
55,baseline_71,policy_development,pooled_nine_consensus,BTCUSDT,market_eligible_short,controller_side,0,1487,0.0
55,baseline_71,policy_development,pooled_nine_consensus,ETHUSDT,all_rows,denominator,1487,1487,1.0
55,baseline_71,policy_development,pooled_nine_consensus,ETHUSDT,any_view_vote,independent_model_stage,65,1487,0.04371217215870881
55,baseline_71,policy_development,pooled_nine_consensus,ETHUSDT,two_view_side_agreement,independent_model_stage,25,1487,0.016812373907195696
55,baseline_71,policy_development,pooled_nine_consensus,ETHUSDT,all_view_positive,exact_rule_stage,13,1487,0.008742434431741762
55,baseline_71,policy_development,pooled_nine_consensus,ETHUSDT,all_view_positive_preferred,exact_rule_stage,13,1487,0.008742434431741762
55,baseline_71,policy_development,pooled_nine_consensus,ETHUSDT,all_view_seed_supported,exact_rule_stage,13,1487,0.008742434431741762
55,baseline_71,policy_development,pooled_nine_consensus,ETHUSDT,controller_model_eligible,controller_stage,18,1487,0.0121049092131809
55,baseline_71,policy_development,pooled_nine_consensus,ETHUSDT,liquidity_eligible,market_gate,991,1487,0.6664425016812374
55,baseline_71,policy_development,pooled_nine_consensus,ETHUSDT,volatility_eligible,market_gate,1472,1487,0.9899125756556826
55,baseline_71,policy_development,pooled_nine_consensus,ETHUSDT,model_plus_liquidity,controller_stage,18,1487,0.0121049092131809
55,baseline_71,policy_development,pooled_nine_consensus,ETHUSDT,model_plus_volatility,controller_stage,16,1487,0.010759919300605245
55,baseline_71,policy_development,pooled_nine_consensus,ETHUSDT,market_eligible,controller_stage,16,1487,0.010759919300605245
55,baseline_71,policy_development,pooled_nine_consensus,ETHUSDT,market_eligible_long,controller_side,16,1487,0.010759919300605245
55,baseline_71,policy_development,pooled_nine_consensus,ETHUSDT,market_eligible_short,controller_side,0,1487,0.0
55,baseline_71,policy_development,pooled_nine_consensus,SOLUSDT,all_rows,denominator,1487,1487,1.0
55,baseline_71,policy_development,pooled_nine_consensus,SOLUSDT,any_view_vote,independent_model_stage,80,1487,0.05379959650302623
55,baseline_71,policy_development,pooled_nine_consensus,SOLUSDT,two_view_side_agreement,independent_model_stage,24,1487,0.01613987895090787
