symbol,candidate_index,name,selected,score,signal_threshold,stop_loss_pct,take_profit_pct,cooldown_minutes,min_position_hold_bars,flat_signal_exit_grace_bars,label_threshold,label_lookahead,label_mode,probability_inverted,round_selection_gate_passed,round_selection_reject_reason,threshold_source,decision_threshold,threshold_calibration_score,threshold_calibration_pnl,threshold_calibration_trades,threshold_diagnostic_best_threshold,threshold_diagnostic_best_score,threshold_diagnostic_best_pnl,threshold_diagnostic_best_trades,selection_realized_pnl,selection_closed_trades,selection_max_drawdown,selection_win_rate,selection_total_fees,selection_profit_factor,selection_expectancy,selection_edge_vs_buy_hold,selection_trades_per_day_cap_hit,selection_regime_entry_skips,selection_meta_label_skips,selection_liquidation_events,selection_reject_reason
ETHUSDT,12,frequency_probe_forward,False,0.0,0.56,0.005,0.0121,4,1,1,0.0015,4,forward_return,False,False,realized_pnl<=0.0,round_selection_rejected_best_threshold_diagnostic,0.5,-1.8245461142226174,-0.8923156771571712,1,0.5,-1.8245461142226174,-0.8923156771571712,1,0.0,0,0.0,0.0,0.0,0.0,0.0,4.6040966780783386,0,244,0,0,realized_pnl<=0.0
ETHUSDT,13,high_conviction_triple_barrier,False,0.0,0.7000000000000001,0.01,0.022,15,0,0,0.0015,10,triple_barrier,False,False,realized_pnl<=0.0,round_selection_rejected_best_threshold_diagnostic,0.5,-1.8245461142226174,-0.8923156771571712,1,0.5,-1.8245461142226174,-0.8923156771571712,1,0.0,0,0.0,0.0,0.0,0.0,0.0,4.588984474588916,0,27,0,0,realized_pnl<=0.0
SOLUSDT,1,default,False,-4.500113322289216e-05,0.66,0.01,0.022,15,0,0,0.0015,8,forward_return,True,False,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0,round_selection_rejected_best_threshold_diagnostic,0.75,-1.7616067022367543,-0.8607623171059231,1,0.75,-1.7616067022367543,-0.8607623171059231,1,-0.8445836166390563,1,0.0008445836166390563,0.0,0.03991953359169527,0.0,-0.8445836166390466,1.7546239359619347,0,7303,0,0,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0
SOLUSDT,2,intraday_micro_triple_barrier,False,-9.515358957393541e-05,0.5800000000000001,0.0025,0.0035199999999999997,2,2,2,0.0015,3,triple_barrier,True,False,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0,round_selection_rejected_best_threshold_diagnostic,0.5800000000000001,-1.757832524648808,-0.8588753226522385,1,0.5800000000000001,-1.757832524648808,-0.8588753226522385,1,-0.8571217307268171,1,0.0008571217307268171,0.0,0.0399182796548928,0.0,-0.8571217307268805,1.7918109024161493,0,8311,0,0,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0
SOLUSDT,3,intraday_activity_triple_barrier,False,-0.08447337098283425,0.56,0.0012,0.0022,0,1,1,0.0015,2,triple_barrier,True,False,realized_pnl<=0.0; edge_vs_buy_hold<0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0; max_consecutive_losses>3,round_selection_rejected_best_threshold_diagnostic,0.8875,-3.7293921353741384,-1.7942334877892563,3,0.8875,-3.7293921353741384,-1.7942334877892563,3,-14.24334274570856,24,0.01424334274570856,0.0,0.9521026202419915,0.0,-0.5934726144045182,-11.594410112565594,45,8511,0,0,realized_pnl<=0.0; edge_vs_buy_hold<0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0; max_consecutive_losses>3
SOLUSDT,4,intraday_breakout_forward,False,0.0005945956858011713,0.56,0.0034999999999999996,0.0044,2,1,1,0.0015,2,forward_return,True,False,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0,round_selection_rejected_best_threshold_diagnostic,0.8375,-1.5603991275181868,-0.7601635591815921,1,0.8375,-1.5603991275181868,-0.7601635591815921,1,-0.6846844118830404,1,0.0006846844118830404,0.0,0.039935525111322825,0.0,-0.6846844118830357,1.964248221259926,0,8397,0,0,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0
SOLUSDT,5,lower_lr_more_l2,False,0.00029267909660696473,0.66,0.01,0.022,15,0,0,0.0015,10,forward_return,False,False,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0,round_selection_rejected_best_threshold_diagnostic,0.7375,-1.536377325488321,-0.7481532586216417,1,0.7375,-1.536377325488321,-0.7481532586216417,1,-0.7601635591815921,1,0.0007601635591815921,0.0,0.04007200915500267,0.0,-0.7601635591816642,1.8569165982037146,0,6968,0,0,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0
SOLUSDT,6,short_horizon_forward,False,-6.88344964370727e-05,0.66,0.0075,0.0165,8,1,1,0.0015,6,forward_return,True,False,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0,round_selection_rejected_best_threshold_diagnostic,0.66,-1.7736243414008717,-0.8667708362920621,1,0.66,-1.7736243414008717,-0.8667708362920621,1,-0.8505419574426014,1,0.0008505419574426015,0.0,0.039918937698025535,0.0,-0.8505419574426796,1.7486655951583896,0,7083,0,0,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0
SOLUSDT,7,triple_barrier_base,False,-9.266785965170773e-05,0.66,0.01,0.022,15,0,0,0.0015,8,triple_barrier,True,False,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0,round_selection_rejected_best_threshold_diagnostic,0.66,-1.7616067022367543,-0.8607623171059231,1,0.66,-1.7616067022367543,-0.8607623171059231,1,-0.8565002982462602,1,0.0008565002982462602,0.0,0.03991834180435581,0.0,-0.8565002982462859,1.7427072543547308,0,7336,0,0,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0
SOLUSDT,8,triple_barrier_conservative,False,0.000340720298846766,0.66,0.011000000000000001,0.0242,15,0,0,0.0015,12,triple_barrier,False,False,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0,round_selection_rejected_best_threshold_diagnostic,0.66,-1.536377325488321,-0.7481532586216417,1,0.66,-1.536377325488321,-0.7481532586216417,1,-0.7481532586216417,1,0.0007481532586216418,0.0,0.04007080824503767,0.0,-0.7481532586217086,1.868926898763665,0,6897,0,0,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0
SOLUSDT,9,long_horizon_forward,False,0.00029267909660696473,0.66,0.0125,0.027499999999999997,15,0,0,0.0015,14,forward_return,False,False,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0,round_selection_rejected_best_threshold_diagnostic,0.75,-1.536377325488321,-0.7481532586216417,1,0.75,-1.536377325488321,-0.7481532586216417,1,-0.7601635591815921,1,0.0007601635591815921,0.0,0.04007200915500267,0.0,-0.7601635591816642,1.8986193427004037,0,6875,0,0,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0
SOLUSDT,10,lower_signal_short_forward,False,0.0005945956858011713,0.6000000000000001,0.006500000000000001,0.015399999999999999,5,1,1,0.0015,5,forward_return,True,False,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0,round_selection_rejected_best_threshold_diagnostic,0.8625,-1.7525552355515919,-0.8562368100160711,1,0.8625,-1.7525552355515919,-0.8562368100160711,1,-0.6846844118830404,1,0.0006846844118830404,0.0,0.039935525111322825,0.0,-0.6846844118830357,1.689914663354632,0,7983,0,0,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0
SOLUSDT,11,lower_signal_triple_barrier,True,0.0014192011157172903,0.6000000000000001,0.0075,0.0165,8,1,1,0.0015,6,triple_barrier,True,False,realized_pnl<=0.0; profit_factor<1.1; expectancy<=0.0,round_selection_rejected_best_threshold_diagnostic,0.8125,-1.5603991275181868,-0.7601635591815921,1,0.8125,-1.5603991275181868,-0.7601635591815921,1,-0.3559996707423352,1,0.0005193775156245692,0.0,0.03996839687261303,0.0,-0.3559996707423125,2.243207881858656,0,8065,0,0,realized_pnl<=0.0; profit_factor<1.1; expectancy<=0.0
SOLUSDT,12,frequency_probe_forward,False,0.0005945956858011713,0.56,0.005,0.0121,4,1,1,0.0015,4,forward_return,True,False,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0,round_selection_rejected_best_threshold_diagnostic,0.7625,-1.824548072463275,-0.8922314289209226,1,0.7625,-1.824548072463275,-0.8922314289209226,1,-0.6846844118830404,1,0.0006846844118830404,0.0,0.039935525111322825,0.0,-0.6846844118830357,1.689914663354632,0,8351,0,0,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0
SOLUSDT,13,high_conviction_triple_barrier,False,0.000340720298846766,0.7000000000000001,0.01,0.022,15,0,0,0.0015,10,triple_barrier,False,False,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0,round_selection_rejected_best_threshold_diagnostic,0.7000000000000001,-1.536377325488321,-0.7481532586216417,1,0.7000000000000001,-1.536377325488321,-0.7481532586216417,1,-0.7481532586216417,1,0.0007481532586216418,0.0,0.04007080824503767,0.0,-0.7481532586217086,1.868926898763665,0,6516,0,0,realized_pnl<=0.0; market_edge_pct<0.002; profit_factor<1.1; expectancy<=0.0
