symbol,candidate_index,candidate,label_mode,label_lookahead,label_threshold,train_rows,selection_rows,validation_rows,evaluated,reject_reason,training_signal_count,selection_signal_count,training_net_edge_bps,selection_net_edge_bps,training_hit_rate,selection_hit_rate
BTCUSDT,1,default,forward_return,8,0.0044,302372,151186,151186,True,edge_preflight_training_signals<20,0,0,-35.79984471899924,-35.79984471899924,0.0,0.0
BTCUSDT,2,day_trade_frequency_probe_forward,forward_return,32,0.003779984471899924,302348,151174,151174,True,edge_preflight_training_signals<20,0,0,-35.79984471899924,-35.79984471899924,0.0,0.0
BTCUSDT,3,day_trade_frequency_probe_downside,downside_forward_return,32,0.003779984471899924,302348,151174,151174,True,edge_preflight_training_signals<20,2,20,5.125223856385478,7.890188257392843,1.0,1.0
BTCUSDT,4,cost_aware_5m_forward,forward_return,300,0.003779984471899924,302080,151040,151040,True,,1172,1082,9.663490161981597,11.063864096017905,1.0,1.0
BTCUSDT,5,cost_aware_5m_downside,downside_forward_return,300,0.003779984471899924,302080,151040,151040,True,,835,471,16.321898635029758,12.15692417499199,1.0,1.0
BTCUSDT,6,cost_aware_15m_forward,forward_return,900,0.003779984471899924,301480,150740,150740,True,,5575,6871,16.51053262647893,15.5897726985177,1.0,1.0
BTCUSDT,7,cost_aware_15m_downside,downside_forward_return,900,0.003779984471899924,301480,150740,150740,True,,3981,3823,20.277579798014617,12.236293752626263,1.0,1.0
BTCUSDT,8,cost_aware_30m_forward,forward_return,1800,0.003779984471899924,300580,150290,150290,True,,16622,15977,19.074354806618956,21.933551456734577,1.0,1.0
BTCUSDT,9,cost_aware_30m_downside,downside_forward_return,1800,0.003779984471899924,300580,150290,150290,True,,9182,9064,22.655926107770767,14.387917452468214,1.0,1.0
BTCUSDT,10,cost_aware_60m_forward,forward_return,3600,0.003779984471899924,298780,149390,149390,True,,25732,25493,28.70565898564953,35.213180852296766,1.0,1.0
BTCUSDT,11,cost_aware_60m_downside,downside_forward_return,3600,0.003779984471899924,298780,149390,149390,True,,19624,13573,26.74020744904666,22.792864244231005,1.0,1.0
BTCUSDT,12,cost_aware_2h_forward,forward_return,7200,0.00396,295180,147590,147590,True,,37523,29638,38.633278505890566,56.15945931114858,1.0,1.0
BTCUSDT,13,cost_aware_2h_downside,downside_forward_return,7200,0.00396,295180,147590,147590,True,,25268,14715,25.085099735158728,24.70706224146118,1.0,1.0
BTCUSDT,14,cost_aware_4h_forward,forward_return,14400,0.0048400000000000006,287980,143990,143990,True,,52795,36378,47.893133495375785,76.82102452168324,1.0,1.0
