date,week,n_trades,longshot_fraction,longshot_winrate,longshot_gap,longshot_gap_ma4w,longshot_gap_ma13w,longshot_gap_ma52w,longshot_gap_z52w
2023-09-25,2023-W39,675,0.3822222222222222,0.1589147286821705,0.10891472868217049,0.05585347726725305,0.023137095832438406,0.03227938705401859,1.1746584114098102
2023-10-02,2023-W40,640,0.30625,0.1020408163265306,0.0520408163265306,0.0637166225253563,0.026536294036831422,0.03287821824409471,0.29799482116340076
2023-10-09,2023-W41,833,0.4045618247298919,0.0771513353115727,0.027151335311572697,0.05227819937000927,0.02659688626359576,0.03270978051078524,-0.08776824278130894
2023-10-16,2023-W42,1042,0.3406909788867562,0.028169014084507,-0.021830985915493,0.04156897360119519,0.024409597071257408,0.03115147289860586,-0.8400570355354022
2023-10-23,2023-W43,1249,0.2850280224179343,0.0308988764044943,-0.0191011235955057,0.009565010531776148,0.02503248733840343,0.029755567440436097,-0.7789125093774285
2023-10-30,2023-W44,1051,0.3510941960038059,0.062330623306233,0.012330623306232996,-0.00036253772329825247,0.02253272096142931,0.029284623004376554,-0.27383481523162856
2023-11-06,2023-W45,1015,0.3211822660098522,0.0674846625766871,0.0174846625766871,-0.002779205907019652,0.026185387313482168,0.028974097729963674,-0.18804056653035459
2023-11-13,2023-W46,819,0.2490842490842491,0.0049019607843137,-0.0450980392156863,-0.008595969232067978,0.022180766964855866,0.0270748121672547,-1.1745518702095066
2023-11-20,2023-W47,1164,0.3092783505154639,0.0388888888888888,-0.011111111111111203,-0.006598466110969352,0.019026850174575435,0.02612016408529555,-0.6108093263487582
2023-11-27,2023-W48,679,0.3475699558173785,0.1059322033898305,0.0559322033898305,0.004301928909930024,0.02240094539554384,0.02684728699516226,0.4818010332052064
2023-12-04,2023-W49,699,0.3705293276108726,0.081081081081081,0.031081081081081,0.0077010335360285,0.023208087379156403,0.02694809161625556,0.06931066615372035
2023-12-11,2023-W50,672,0.4717261904761904,0.0315457413249211,-0.018454258675078904,0.01436197867118035,0.016180449947768735,0.025892223004829178,-0.7475653464684796
2023-12-18,2023-W51,580,0.253448275862069,0.0408163265306122,-0.009183673469387803,0.014843838081611197,0.013858173745526343,0.025095043539506066,-0.5823240948796614
2023-12-25,2023-W52,562,0.4039145907473309,0.026431718061674,-0.023568281938326004,-0.005031283250427928,0.003667172928565075,0.02401363630666535,-0.8113826294613478
2024-01-01,2024-W01,1533,0.4194390084801043,0.0373250388802488,-0.0126749611197512,-0.015970293800635978,-0.0013109637980719866,0.023216058101743254,-0.6162656679108888
2024-01-08,2024-W02,4209,0.4017581373247802,0.0165582495564754,-0.0334417504435246,-0.0197171667427474,-0.005971970394617932,0.022010572813546063,-0.9529062903455547
2024-01-15,2024-W03,1110,0.4306306306306306,0.0815899581589958,0.031589958158995804,-0.009523758835651498,-0.00186266700427264,0.02221014334157627,0.16288065525595455
2024-01-22,2024-W04,1274,0.3963893249607535,0.1108910891089108,0.06089108910891079,0.0115910839261577,0.004290580126836321,0.022999550398052484,0.6618457133153999
2024-01-29,2024-W05,783,0.4035759897828863,0.0537974683544303,0.003797468354430296,0.015709191294703072,0.0036341835920822674,0.022615508757180037,-0.3317173439296143
2024-02-05,2024-W06,1061,0.2695570216776626,0.1503496503496503,0.10034965034965031,0.0491570414929968,0.010008413420771745,0.024139707611934357,1.3322451644691695
2024-02-12,2024-W07,1521,0.3057199211045365,0.1118279569892473,0.0618279569892473,0.056716541200559675,0.018233490051920483,0.024864481638421143,0.6498368720722737
2024-02-19,2024-W08,1104,0.3034420289855072,0.1074626865671641,0.05746268656716409,0.055859440565123,0.023508397565633967,0.026931071764712763,0.5446820740823536
2024-02-26,2024-W09,1087,0.3495860165593376,0.1026315789473684,0.05263157894736839,0.06806796821335753,0.02325450337775227,0.02773925480973791,0.44357943712898945
2024-03-04,2024-W10,1296,0.3225308641975308,0.0813397129186602,0.031339712918660195,0.050815483855609994,0.02327439813448913,0.02405872481341844,0.14893135732780152
2024-03-11,2024-W11,1035,0.2454106280193236,0.0905511811023622,0.040551181102362194,0.045496289883888714,0.027813278117369215,0.023257182046950833,0.3584002856854927
2024-03-18,2024-W12,782,0.3631713554987212,0.0422535211267605,-0.007746478873239503,0.029193998523787817,0.027923831547842157,0.024010395534906106,-0.6694783704493628
2024-03-25,2024-W13,720,0.3833333333333333,0.1159420289855072,0.0659420289855072,0.032521611033322524,0.03480924008044471,0.026089022954985833,0.8507611810186168
2024-04-01,2024-W14,655,0.3129770992366412,0.0390243902439024,-0.010975609756097605,0.021942780364633076,0.034939959416110375,0.02527855293719875,-0.7694316420837857
2024-04-08,2024-W15,595,0.3394957983193277,0.1386138613861386,0.0886138613861386,0.03395845043557717,0.04432885263377677,0.025645705803266843,1.324471596555934
2024-04-15,2024-W16,590,0.3864406779661017,0.2236842105263158,0.17368421052631577,0.07931612278546599,0.05525917973895523,0.027570488589965653,2.8431394391486116
2024-04-22,2024-W17,464,0.3771551724137931,0.1257142857142857,0.07571428571428569,0.08175918696766062,0.056399425631676374,0.025951983638127365,1.0285664548368079
2024-04-29,2024-W18,754,0.4084880636604774,0.2857142857142857,0.2357142857142857,0.14343166083525644,0.07423918081320371,0.026847826925275004,4.03424812156102
2024-05-06,2024-W19,686,0.4052478134110787,0.2697841726618705,0.2197841726618705,0.17622423865418943,0.08342645176029759,0.031217653486284788,3.249294076752498
2024-05-13,2024-W20,1849,0.4429421308815576,0.3553113553113553,0.30531135531135534,0.20913102485044932,0.10215594393892127,0.037059287400876675,3.8763832010751607
2024-05-20,2024-W21,4871,0.3120509135701088,0.0710526315789473,0.021052631578947295,0.19546561131661472,0.0993551704782892,0.03749516307019886,-0.2382132018659112
2024-05-27,2024-W22,4998,0.4303721488595438,0.1180846118084611,0.06808461180846109,0.15355819284015854,0.10054386531375789,0.03874717228862444,0.4253248953013154
2024-06-03,2024-W23,6469,0.3513680630700262,0.1218653761548614,0.0718653761548614,0.11657849371340628,0.10366122402423492,0.039797912392442875,0.4643528310102223
2024-06-10,2024-W24,7144,0.406494960806271,0.0568181818181818,0.0068181818181818,0.041955200340112894,0.1010663779254518,0.04014519108274483,-0.48411025687552617
2024-06-17,2024-W25,9436,0.4572912250953794,0.0579374275782155,0.0079374275782155,0.038676399339929945,0.1022728322678714,0.03901744332692533,-0.45121610147172736
2024-06-24,2024-W26,19075,0.5831192660550458,0.0414456531511282,-0.008554346848871804,0.019516659675596723,0.09654234181907302,0.03953896266513031,-0.7030673879523787
2024-07-01,2024-W27,21418,0.3914931366140629,0.0456768038163387,-0.004323196183661303,0.00046951659096604835,0.09705406594002966,0.03930483889872487,-0.6365685839948768
2024-07-08,2024-W28,23413,0.3945671208303079,0.0351807750595367,-0.014819224940463303,-0.004939835098695227,0.0890976746841372,0.038512860796722954,-0.7737632725364326
2024-07-15,2024-W29,40822,0.4669785899759933,0.0211928867439542,-0.0288071132560458,-0.014125970307260552,0.07352141900857093,0.03783188220362773,-0.9599369649823665
2024-07-22,2024-W30,64289,0.4979078847081149,0.0293033427054045,-0.020696657294595504,-0.017161547918691476,0.06610519262327239,0.03795692143004713,-0.8462924659483596
2024-07-29,2024-W31,68075,0.4957914065369078,0.0374803709519717,-0.012519629048028301,-0.019210656134783226,0.047010276103094384,0.03685409036745242,-0.7088786730949683
2024-08-05,2024-W32,49946,0.3495975653706002,0.0254280969016665,-0.024571903098333504,-0.021648825674250777,0.028213654890770993,0.03695847684633062,-0.8846636165689423
2024-08-12,2024-W33,44895,0.3114823477001893,0.0337528604118993,-0.0162471395881007,-0.0185088322572645,0.0034783860523512973,0.036512146752012226,-0.7556201208563532
2024-08-19,2024-W34,54543,0.2317804301193553,0.0425565575067236,-0.0074434424932764,-0.015195528556934727,0.001286380354487936,0.035794199643246635,-0.6169457210340308
2024-08-26,2024-W35,49620,0.2590084643288996,0.0470743853096794,-0.0029256146903206062,-0.012797024967507804,-0.004175944760802964,0.03550584233156276,-0.5473503097862862
2024-09-02,2024-W36,43443,0.2731164974794558,0.0211546565528866,-0.028845343447113404,-0.013865385054702778,-0.011922923191724102,0.034555196586539084,-0.8960933834324233
2024-09-09,2024-W37,49323,0.3051112057255236,0.036215030899063,-0.013784969100937003,-0.013249842432911853,-0.01350778095473324,0.03288808125896413,-0.6587394182921902
2024-09-16,2024-W38,49201,0.2823926342960509,0.0226716568302864,-0.027328343169713602,-0.018221067602021156,-0.016220532550727786,0.03195857625262803,-0.8312050620162709
2024-09-23,2024-W39,89332,0.2195517843549903,0.0412481517360934,-0.008751848263906604,-0.019677625995417655,-0.016235724967268925,0.029695757465203473,-0.5438063989684193
2024-09-30,2024-W40,131690,0.2370415369428202,0.0357508969759097,-0.014249103024090305,-0.01602856588966188,-0.01699925626268654,0.028420951323845374,-0.6019405140958816
2024-10-07,2024-W41,211606,0.1866676748296362,0.0175189873417721,-0.032481012658227906,-0.020702576778984606,-0.018357855317899203,0.02727417540134921,-0.8370362362255616
2024-10-14,2024-W42,232124,0.1361556754148644,0.0409428887834203,-0.009057111216579705,-0.01613476879070113,-0.016838624391786426,0.027519826837866777,-0.5134430919929335
2024-10-21,2024-W43,414337,0.1096257394343252,0.0323631720311743,-0.0176368279688257,-0.018356013716930904,-0.01660325290518875,0.027547986369149083,-0.634439603617194
2024-10-28,2024-W44,583904,0.0937979530881788,0.0270591027771184,-0.022940897222881604,-0.02052896226662873,-0.017404888918639002,0.026869687897435338,-0.6963099275797987
2024-11-04,2024-W45,316310,0.2607853055546774,0.034695535162264,-0.015304464837736002,-0.016234825311505753,-0.016692009052439193,0.02623912775485028,-0.5788952514263215
2024-11-11,2024-W46,228499,0.2867146026897273,0.0217968678450407,-0.0282031321549593,-0.021021330546100652,-0.017611700788351396,0.026564029813710414,-0.76627520204652
2024-11-18,2024-W47,222899,0.3434156277058219,0.0321109906332057,-0.0178890093667943,-0.021084375895592804,-0.018415205932468155,0.02643368561648574,-0.6194809313921709
2024-11-25,2024-W48,227666,0.3817785703618458,0.0134379530131848,-0.0365620469868152,-0.0244896633365762,-0.02100262380142928,0.024654950032319475,-0.8508387739295808
2024-12-02,2024-W49,214589,0.3211860812996006,0.0224888643848932,-0.0275111356151068,-0.027541331030918898,-0.020899992429736464,0.023528176634315865,-0.7058958725544595
2024-12-09,2024-W50,263156,0.3066660079952575,0.0133207766942169,-0.036679223305783104,-0.02966035381862485,-0.022661088907032317,0.02317769654526386,-0.824980771939488
2024-12-16,2024-W51,320409,0.3136241491343876,0.0217239869437146,-0.028276013056285403,-0.032257104740997626,-0.022733986590614767,0.02281053616859275,-0.7020228355380161
2024-12-23,2024-W52,447900,0.3118642554141549,0.021269436728616,-0.028730563271384003,-0.030299233812139826,-0.024270810821959178,0.02271126152757241,-0.7062450188680214
2024-12-30,2025-W01,297503,0.3505410029478694,0.0321324805584588,-0.017867519441541205,-0.02788832976874843,-0.02454915054637848,0.022611404636768754,-0.5553312045856117
